Character,Gender,Line
Sherry,Female,Claire!
Claire,Female,"I'm going down there. Stay here and wait for me, okay?"
Irons,Male,"So, you've made it this far. Not bad, girl!"
Irons,Male,I'm not letting anyone leave my town. Everyone's gonna die!
Claire,Female,"Calm down, Chief. What happened?"
Irons,Male,Shut up!
Irons,Male,You couldn't possibly understand what's happened. Those monsters from Umbrella have destroyed my beautiful town! How could they do that to me after everything I've done for them?
Claire,Female,"So it's true, you have been working for Umbrella. Then you must know about the G-Virus. What is it? Tell me!"
Irons,Male,"If you must know, it is the agent that can turn humans into the ultimate bio-weapon. Superior to the T-Virus in every way. William Birkin is the genius behind the project."
Claire,Female,William Birkin?
Irons,Male,"I'm sure you've already seen his little girl running around here. Sherry, Isn't it? In case you haven't already figured it out, the monster that's been tearing my precinct apart is yet another product of the G-Virus, the ultimate bio-weapon! Umbrella must be trying to cover its tracks, but if I'm going to go, I'm going to take you with me!"
Irons,Male,What the?
Sherry,Female,Claire! You came back!
Claire,Female,I can't believe that the man who developed the G-Virus is her father.
Sherry,Female,What's the matter?
Claire,Female,"It's nothing, but I think I found a way out of here. We should be able to find someplace safe if we can just make it out of town."
Sherry,Female,But...
Claire,Female,"Don't worry, I'll protect you, but you have to make sure you don't leave my side."
Claire,Female,"Come on, let's get out of here."
Sherry,Female,Claire!
Claire,Female,Run!
Claire,Female,"Sherry, where are you? Sherry!"
Claire,Female,What happened? You're bleeding!
Leon,Male,"I... I ran into this woman who was in trouble. Her name's Ada. Right after that, someone tried to kill me. Nearly succeeded, too. Ada went after the sniper but... I'm worried about her. You've got to find her before something happens."
Claire,Female,But you've been shot!
Leon,Male,I'll be okay. It's Ada I'm worried about.
Claire,Female,Are you all right? What happened?
Annette,Female,Get away from me!
Annette,Female,"You just want my husband's G-Sample, don't you! But no one will take that away from me."
Claire,Female,Husband? Then you must be Annette!
Annette,Female,How... how did you...?
Claire,Female,Don't worry about that. Sherry is lost somewhere in the sewer system. I have to find her.
Annette,Female,What? I told her to go to the Police building! Why is she here? Now Sherry and the G-Virus sample are in danger.
Claire,Female,What did she mean by that? Does Sherry have the G-Sample?
Claire,Female,Sherry! You're okay!
Claire,Female,"Sherry, did your mom give you something called G-Virus? Either a vial or a test tube?"
Sherry,Female,G-Virus? I've never heard of anything like that before.
Claire,Female,"Are you absolutely sure? If you give it to me, I'll hold onto it for safekeeping."
Sherry,Female,But I really don't have anything. It's the truth.
Claire,Female,"Sherry, wait here. I'm going to check it out by myself."
Sherry,Female,"Okay, I'll wait here, but hurry back."
Claire,Female,"Okay, Sherry. Let's go."
Sherry,Female,Claire! What was that?
Claire,Female,Don't worry. Just wait here. I'll go check it out.
Sherry,Female,Isn't this...?
Claire,Female,"That's okay, you keep it. I'm sure it will keep you safe. Wait here for me, okay? I'm going back to look for your mom."
Sherry,Female,"Thanks, Claire. Even though I'm an only child, neither of my parents spent much time with me. Because of their work. But now that you're with me, I finally have someone to rely upon."
Claire,Female,Sherry.
Claire,Female,Sherry? Where is she?
Claire,Female,Annette!
Claire,Female,Where's Sherry?
Claire,Female,But I asked her and she's never even heard of the G-Virus before.
Annette,Female,Which room? Tell me!
Annette,Female,Sherry!
Claire,Female,No! Annette!
Annette,Female,The sample is inside the pendant Sherry's wearing!
Claire,Female,Sherry!
Sherry,Female,"Help me, Claire!"
Claire,Female,The monster wants your pendant! Throw it to me!
Claire,Female,Now run Sherry!
Claire,Female,"Come and get it! I've got what you want! Come on! Here, this is what you're looking for, right?"
Claire,Female,"Fine, then go get it!"
Claire,Female,Sucker!
Computer,,"The self-destruct sequence has been activated! Repeat, the self-destruct sequence has been activated! This sequence may not be aborted! All employees proceed to the emergency car at the bottom platform!"
Claire,Female,"Sherry, where are you? Sherry? Where is she?"
Sherry,Female,Mom! Mom!
Annette,Female,"Sherry. You have to escape. I know I've been a terrible mother, but I still love you."
Sherry,Female,Mom!
Claire,Female,"Sherry, we have to go now."
Claire,Female,"You go and wait here, okay? I'll go and get this thing moving."
Ada,Female,Here!
Claire,Female,Who are you?
Claire,Female,"You lose, big guy!"
Claire,Female,Leon. Hurry up! Leon!
Sherry,Female,Leon!
Leon,Male,Stay down!
Claire,Female,Are you okay?
Sherry,Female,"Yes, I’m fine."
Leon,Male,It’s finally over.
Claire,Female,No. I have to find my brother.
Leon,Male,You’re right. This is just the beginning.
Claire,Female,"Ah, my god has protected you. It will always be with you."
Sherry,Female,Claire.
Claire,Female,Sherry.
Leon,Male,What was that?
Computer,,Warning. Biohazardous outbreak imminent. The emergency system has been activated. This train will detonate. Repeat. This train will detonate.
Claire,Female,What's wrong with this thing?
Leon,Male,"I don't know, the door won't open!"
Computer,,Warning. The self-destruct sequence has been activated. Each train compartment will detonate sequentially.
Leon,Male,What?
Sherry,Female,Claire!
Claire,Female,"Leon, stop the train!"
Leon,Male,I can't! The door is locked!
Sherry,Female,Leon!
Leon,Male,"Sherry, get back!"
Leon,Male,That's what I call ugly!
Leon,Male,"Claire, where are you?"
Claire,Female,"You don't give up, do you?"
Leon,Male,Sherry? What are you doing?
Sherry,Female,"We have to stop the train, right? I can do it!"
Leon,Male,Sherry!
Leon,Male,"Persistent, aren't you? Come and get me."
Sherry,Female,"Hmm, which one is the right switch? Maybe this one?"
Claire,Female,Sherry!
Sherry,Female,Claire!
Claire,Female,"Press the switch, over there!"
Sherry,Female,Got it!
Leon,Male,I can't hold on much longer!
Leon,Male,Finally!
Sherry,Female,Leon!
Leon,Male,Right here. You're both safe.
Leon,Male,"We've gotta get out of here, move it! Go!"
Leon,Male,"That was a close one. That was pretty impressive back there, Sherry."
Sherry,Female,It was nothing. I saw somebody do that on TV once.
Claire,Female,Come on. We've gotta move out.
Leon,Male,Now what's the problem? Is there something following us?
Claire,Female,"Hey, we've still got a job to do."
Leon,Male,Go? You can't mean...
Claire,Female,Chris. I have to find you.
Narrator,,"A bizarre incident occurred in the outskirts of an American suburb called Racoon City. It was later revealed that the terrible disaster had been caused by the T-Virus, a mutagenic toxin created by the international corporation Umbrella incorporated. The Racoon police department special STARS Unit began an immediate investigation. The case was apparently closed thanks to the efforts of STARS members Chris Redfield and Jill Valentine. But the Umbrella Corporation’s experiments were far from finished."
Claire,Female,I'm finally here.
Truck Driver,,That guy's a maniac. Why’d he bite me?
Claire,Female,Hello? Is anyone here? Hello?
Claire,Female,Uh... hello?
Claire,Female,"Look. I'm sorry I bothered you, okay? Just don't come any closer."
Claire,Female,Are you listening?
Claire,Female,"Wait, don’t shoot!"
Leon,Male,Get down!
Leon,Male,We can’t stay out here. Head to the police station. It’ll be a lot safer.
Leon,Male,There!
Leon,Male,Buckle up.
Claire,Female,Okay.
Claire,Female,What’s going on? I arrived in town and the whole place went insane.
Leon,Male,Great. The radio’s out!
Claire,Female,"You’re a cop, right?"
Leon,Male,"Yeah, First day on the job. Great, huh? Name's Leon Kennedy. Nice to meet you."
Claire,Female,Mine’s Claire. Claire Redfield. I came to find my brother Chris.
Leon,Male,Hey. Could you open the glove box?
Claire,Female,Sure.
Claire,Female,There’s a gun inside.
Leon,Male,Better take it with you.
Leon,Male,No!
Claire,Female,Look out!
Leon,Male,You okay?
Claire,Female,Still in one piece.
Leon,Male,That maniac’s gonna ram us!
Leon,Male,Claire!
Claire,Female,Leon!
Leon,Male,I’m okay! Head to the station. I’ll meet you there.
Kendo,Male,Freeze! Who are you? What are you doing here?
Claire,Female,Don't shoot. I'm a human.
Kendo,Male,"Sorry about that, babe. I thought you were one of them."
Claire,Female,What's going on in this town?
Kendo,Male,Hold on.
Kendo,Male,"I ain't got no clue, darling. By the time I noticed something was wrong, the entire city was infested with zombies. But don't you worry, girly. You'll be safe in here. I'm keeping a close eye on things."
Claire,Female,Hang in there! Are you the only officer left in the building?
Marvin,Male,Who... who are you?
Claire,Female,Claire. Claire Redfield. I'm looking for my brother Chris.
Marvin,Male,"We lost contact with him over ten days ago. Chris, Jill, Barry. Every last STARS team member has disappeared. We should have listened to them."
Claire,Female,What happened?
Marvin,Male,"About 2 months ago, there was this incident involving these zombie-like creatures in a mansion located in the outskirts of this city. Chris and the other STARS members discovered that Umbrella was behind everything. At the risk of their own lives. But no one believed them."
Claire,Female,Are you okay?
Marvin,Male,"Don't worry about me, just rescue the survivors in the other rooms. Here, take this keycard. You should be able to unlock the doors in the hall with this. Now go."
Claire,Female,But...
Marvin,Male,Just go!
Claire,Female,"Okay, just hang in there. I'll be back soon."
Sherry,Female,Help me!
Claire,Female,Leon!
Leon,Male,"Claire, you made it!"
Claire,Female,Yeah. Did you see a little girl around here?
Leon,Male,"Yeah, you just missed her. Who is she?"
Claire,Female,"I don't know, but it's too dangerous for her to stay here alone. Leon, I'll go look for her. You go and find us a way out of here."
Leon,Male,"Of course, but before I forget, here's a radio. That way we can keep in touch if something comes up."
Irons,Male,"Oh, I'm terribly sorry. I thought you were another one of those zombies."
Claire,Female,Are you Chief Irons?
Irons,Male,"Yes, that's me. And just who are you...no don't bother telling me. It makes no difference. You'll end up just like all the others."
Irons,Male,"That's the Mayor's daughter. I was told to look after her, but I failed. Miserably. Just look at her. She was a true beauty. Her skin, nothing short of perfection."
Irons,Male,"But it will soon putrefy, and she will turn into a zombie within the hour like all the others."
Claire,Female,There must be some way to stop it.
Irons,Male,"In a manner of speaking there is. Either by putting a bullet through her brain, or by decapitating her completely."
Irons,Male,And to think that taxidermy used to be my hobby.
Irons,Male,"But no longer! Please, I'd really like to be alone now."
Claire,Female,Wait!
Sherry,Female,Let me go!
Claire,Female,"Easy, easy there. I'm not a zombie. You're safe now."
Claire,Female,"Leon, come in. I've found the girl and I've cleared the wreckage that was blocking the corridor."
Leon,Male,Got it.
Claire,Female,"My name's Claire, what's yours?"
Sherry,Female,Sherry.
Claire,Female,Do you know where your parents are?
Sherry,Female,"They both work at the Umbrella Chemical Plant, near the city limits."
Claire,Female,The chemical plant? Then what are you doing here?
Sherry,Female,My mom called and told me to go to the police station because it was too dangerous to stay at home.
Claire,Female,"By the look of things I'd say she was probably right, but it's dangerous here as well. You're better off coming with me."
Sherry,Female,"But there's something out there. I don't know what it is, but I saw it. Much larger than any of those zombies, and it's coming after me."
Claire,Female,What was that?
Sherry,Female,That's what I was telling you about. It's here!
Claire,Female,"Sherry, wait!"
Claire,Female,"Sherry! I've been looking everywhere for you, I was so worried. We've got to go now, honey. Okay? If we stay here that monster will find us. Let's go."
Sherry,Female,No! I won't!
Claire,Female,What's the matter? Don't you trust me?
Sherry,Female,"It's not that, Claire. It's because of my daddy. He's over there.  I heard him call my name. Daddy must have been attacked by the monsters, I have to help him!"
Claire,Female,"Wait, Sherry. Don't go alone! Sherry! Sherry!"
Sherry,Female,Claire? Are you there?
Claire,Female,"Sherry, are you okay? Did you find your dad?"
Sherry,Female,"Yes, I'm okay, but I couldn't find him, but I did find something else for you. Here."
Claire,Female,"Thanks, sweetie. Now why don't you come over here, I want you to stay with me."
Sherry,Female,"Claire, I can't reach the ventilation hole anymore, but don't worry. I'll find another way. I can take care of myself."
Claire,Female,"Wait, Sherry. Come back! Sherry! Sherry!"
Claire,Female,Sherry! You're okay!
Sherry,Female,"I'm glad to see you're safe, Claire."
Sherry,Female,Claire!
Claire,Female,"I'm going down there. Stay here and wait for me, okay?"
Irons,Male,Help me!
Irons,Male,"So, you've made it this far. Not bad, girl."
Irons,Male,I'm not letting anyone leave my town. Everyone's gonna die!
Claire,Female,"Calm down, Chief. What happened?"
Irons,Male,Shut up!
Irons,Male,You couldn't possibly understand what's happened. Those monsters from Umbrella have destroyed my beautiful town! How could they do that to me after everything I've done for them?
Claire,Female,So it's true. You have been working for Umbrella. Then you must know about the G-Virus. What is it? Tell me!
Irons,Male,"If you must know, it is the agent that can turn humans into the ultimate bio-weapon, superior to the T-Virus in every way. William Birkin is the genius behind the project."
Claire,Female,William Birkin?
Irons,Male,"I'm sure you've already seen his little girl running around here. Sherry? Isn't it? In case you haven't already figured it out, the monster that's been tearing my precinct apart is yet another product of the G-Virus, the ultimate bio-weapon! Umbrella must be trying to cover its tracks, but if I'm going to go, I'm going to take you with me!"
Irons,Male,My chest. Can't... take the pain.
Sherry,Female,Claire! You came back!
Claire,Female,I can't believe that the man who developed the G-Virus is her father.
Sherry,Female,What's the matter?
Claire,Female,"It's nothing, but I think I found a way out of here. We should be able to find someplace safe if we can just make it out of town."
Sherry,Female,But...
Claire,Female,"Don't worry, I'll protect you, but you have to make sure you don't leave my side."
Claire,Female,"Leon, you're still there? We're leaving."
Leon,Male,Are you crazy! The sewers are still crawling with zombies!
Claire,Female,It'll be all right. We found a way to the sewer. Follow us later.
Leon,Male,"Claire! Claire. Wait, wait!"
Claire,Female,"Come on, let's get out of here."
Sherry,Female,Claire!
Claire,Female,Run!
Claire,Female,"Sherry, where are you? Sherry!"
Sherry,Female,"Claire, I'm here!"
Sherry,Female,Claire?
Annette,Female,"Who are you? Another spy sent by Umbrella, right? You're just after my husband's G-Virus, aren't you?"
Claire,Female,Husband? Then you must be Annette.
Annette,Female,What?
Claire,Female,Sherry's wandering around alone in the sewers. You have to help me find her.
