Character,Gender,Playable,Line
Claire,Female,Playable,"Oh I need those, give them to me."
Steve,,Playable,"You've got to be kidding, I found it, and I’m keeping it. Fine, lets make a deal, I'll trade you for something fully automatic."
Steve,,Playable,"See you around Claire, Adios!"
Claire,Female,Playable,Hey Wait! Steve!
Alfred,Male,Non-Playable,"Redfield, how dare you interfere with my operation."
Claire,Female,Playable,What are you talking about?!
Alfred,Male,Non-Playable,You let yourself be captured so you could lead your people to this base.
Claire,Female,Playable,I have no idea what your babbling about.
Alfred,Male,Non-Playable,"You don't fool me! I am Alfred Ashford, commander of this base."
Claire,Female,Playable,Oh?! You must be one of Umbrella's lower level officers if your commander of a back water base like this one!
Alfred,Male,Non-Playable,"How dare you! The Ashford family is among the worlds first and finest, my grandfather is one of the original founders of Umbrella Inc. Now tell me, why have you attacked this installations?"
Claire,Female,Playable,Attacked?!
Alfred,Male,Non-Playable,"Shortly after you arrived, my base was attacked, you must have informed your people its location."
Claire,Female,Playable,"I still don't follow you, I really don't know anything about that."
Alfred,Male,Non-Playable,"Unacceptable! How can you deny it, my base has been destroyed, and thanks to you the experimental T-Virus was released, creating countless zombies and monsters....Tell me, who do you work for? Who sent you!"
Alfred,Male,Non-Playable,"Have it your way then, your just a rat in a cage anyway. I'll be sure to keep you entertained before I dispose of you."
Claire,Female,Playable,I can't get the door open!
Alarm,,Non-Playable,"Biohazard contamination detected, level 3, emergency shutters will close."
Claire,Female,Playable,Phew that was close.
Claire,Female,Playable,(Gasps)
Alfred,Male,Non-Playable,"(Giggles) Welcome Claire, consider the area your in...a special  playground I have prepared just for you. Please try and keep  me amused and do not disappoint me by dying to soon. I so  want to enjoy this."
Claire,Female,Playable,(Muffled) Uh! Nooo!!
Steve,,Playable,"Oh yeah, that felt good! Don't worry Claire, your night and shining armor is here."
Claire,Female,Playable,"You wish, but thanks for the help."
Steve,,Playable,"See this is why you need me, I got your back."
Claire,Female,Playable,Whatever. Here take these.
Steve,,Playable,Machine guns?! For me?!
Claire,Female,Playable,"You know the deal, in exchange for your lugers"
Steve,,Playable,(Laughs) Okay! Okay!
Steve,,Playable,(Laughs) This thing is to cool. Yes! Now this is my kind of weapon.
Steve,,Playable,"Alright! Huh? Hey! This things empty, your cheated me."
Claire,Female,Playable,"Up there, plenty of ammo, just for you."
Steve,,Playable,Way up there?
Claire,Female,Playable,"Gimme a boost, and I’ll get it for you."
Steve,,Playable,"Alright, Alright."
Steve,,Playable,(In Pain) Ow! My back! Your heavier then you look. Hurry up!
Claire,Female,Playable,Happy now?
Steve,,Playable,"Wa, wa, what!"
Steve,,Playable,"Okay, Lets do it! Wait here Claire."
Steve,,Playable,Time to test out my new toy.
Steve,,Playable,"It was dirty work, but this area is now clean."
Steve,,Playable,"See you can depend on me....You see, this thing is more reliable that any person."
Claire,Female,Playable,Then people?
Claire,Female,Playable,Steve...what were you doing here? Who brought you here? And where is your family?
Steve,,Playable,Shut up! I don't want to talk about it!
Claire,Female,Playable,Steve...
Steve,,Playable,"Never mind, lets get going."
Steve,,Playable,"Claire, are you okay?"
Claire,Female,Playable,Steve behind you!
Steve,,Playable,(Aims guns at zombie and backs away) ...No!
Claire,Female,Playable,What’s wrong Steve? Shoot him!
Steve,,Playable,Wait...I can't! No!
Claire,Female,Playable,Steve!
Claire,Female,Playable,No!
Steve,,Playable,(Aims guns and starts firing with anger) Father!
Claire,Female,Playable,Steve...
Steve,,Playable,(Cries) Father...Father...Father
Steve,,Playable,"Dad...used to work for Umbrella. Tried to steal information, planning to sell it off to the highest bidder. He was caught, Mom was killed, we were sent here."
Claire,Female,Playable,Oh Steve.
Steve,,Playable,"He was a fool to do something so reckless, so stupid."
Claire,Female,Playable,"It okay now, just rest."
Rodrigo,Male,Non-Playable,What are you doing here?
Rodrigo,Male,Non-Playable,"Hemostatic medicine, how kind of you. Thanks"
Claire,Female,Playable,Here let me help you with that.
Rodrigo,Male,Non-Playable,"Thanks, but I can take care of myself, just go."
Claire,Female,Playable,"Keep it, it was a gift from my brother. But..."
Rodrigo,Male,Non-Playable,"Thanks. Here let me give you this in return, you might need it more  then I, now go, don't worry about me."
Rodrigo,Male,Non-Playable,You better get out of here while your still able.
Alexia,Female,Non-Playable,"Keep focused brother, our enemy is only a little girl. Oh why is this taking so long?"
Alfred,Male,Non-Playable,"My apologizes Alexia, but I have been doing my best."
Alexia,Female,Non-Playable,The revival of the Ashford family depends on your success brother.
Alfred,Male,Non-Playable,I am aware of that Alexia. I will revive the family name myself and make you the master of the glorious Ashford family.
Alexia,Female,Non-Playable,"Do not worry brother, I will handle both of them myself. Who is there? Is someone in the corridor?"
Alfred,Male,Non-Playable,What is it Alexia?
Alexia,Female,Non-Playable,"N...nothing, I believe I must have been imagining things. Let us go brother."
Wesker,Male,Non-Playable,Greetings! You must be the lovely Claire Redfield.
Claire,Female,Playable,Who are you?
Wesker,Male,Non-Playable,"Lets just say that I’m a ghost, coming back to haunt your...dear brother."
Claire,Female,Playable,Wesker?!
Wesker,Male,Non-Playable,It seems there’s not much explaining to do is there? I was the one who attacked this island. Who'd of though you'd be hanging about?
Wesker,Male,Non-Playable,"All the better for me, now that the cat dragged in this nice surprised, your ever so caring brother. He'll definitely show up. I must thank you for being such good bait."
Claire,Female,Playable,"I don't know what went on between you two, but you have him all wrong, my brother's not the kind of person you think he is."
Wesker,Male,Non-Playable,I despise Chris!
Claire,Female,Playable,What are you going to do to him?
Wesker,Male,Non-Playable,Oh how your brother will be surprised to see you die
Wesker,Male,Non-Playable,"What? What is it? Stay there, I’m coming."
Wesker,Male,Non-Playable,"It appears you may be of some further use to me, I’m going to let you live...a little longer."
Alexia,Female,Non-Playable,"Claire Redfield, hold it right there. We meet each other at last, a pity I must say good-bye so soon. I am Alexia Ashford for the pride of the Ashford family, I will kill you!"
Claire,Female,Playable,Wait!
Steve,,Playable,What’s going on?!
Claire,Female,Playable,Steve!
Claire,Female,Playable,A secret door!
Steve,,Playable,After her!
Claire,Female,Playable,Are you okay?
Steve,,Playable,"I'm fine, its just a scratch."
Claire,Female,Playable,This must be...
Alfred,Male,Non-Playable,What?! No!
Steve,,Playable,"Wait a second, what just happened?"
Claire,Female,Playable,So there never was an Alexia after all!
Steve,,Playable,"You mean, he thinks he's two people? Okay that’s it, lets get out of here!"
Alarm,,Non-Playable,"The self destruction system has been activated, all personnel evacuate immediately"
Claire,Female,Playable,"What?! Alfred’s insane, he's trying to blow this entire place up."
Steve,,Playable,Claire!
Steve,,Playable,Those must be the remaining survivors.
Claire,Female,Playable,We better get out of here too.
Steve,,Playable,Right. Lets go!
Steve,,Playable,We got to get to that airport.
Steve,,Playable,No! We can't take off unless we raise the bridge.
Claire,Female,Playable,"Leave that to me, you stay here and make preparations for take off."
Alarm,,Non-Playable,Five minutes until detonation.
Alfred,Male,Non-Playable,"I will not allow you fools to escape, this is what you get for trying to appose me, now feel my revenge."
Steve,,Playable,What took you so long? I was starting to get worried.
Claire,Female,Playable,"No time to explain, lets go!"
Steve,,Playable,"Right, we're outta here, time to say goodbye to this death trap."
Steve,,Playable,We made it! Ya hoo!
Claire,Female,Playable,Ugh its finally over!
Steve,,Playable,"Claire, I’m sorry, I know I caused a lot of trouble for you."
Claire,Female,Playable,"No its okay, it was hard for both of us."
Steve,,Playable,Well I really hope you find your brother. I know what its like to be alone.
Claire,Female,Playable,Oh Steve.
Steve,,Playable,So where should we go now? I can take you where ever you want to go Claire.
Claire,Female,Playable,I hear Hawaii's nice this time of year.
Steve,,Playable,You got it!
Alfred,Male,Non-Playable,"This game is not over yet, now you will see what real terror is all about."
Steve,,Playable,"Hey, what the? The cargo room hatch is open."
Claire,Female,Playable,I'll go back and check it out.
Steve,,Playable,"Thanks, I’ve unlocked the cargo room door."
Steve,,Playable,What was wrong?
Claire,Female,Playable,"Oh nothing, just a giant cockroach that had to be stepped on."
Claire,Female,Playable,What’s happening?
Steve,,Playable,"I don't know, the plane just changed direction on its own."
Steve,,Playable,Its flying in auto-pilot mode I can't switch over to manual control.
Alfred,Male,Non-Playable,My apologizes but I cannot let you escape now.
Claire,Female,Playable,Alfred! Cross dressing freak!
Steve,,Playable,"Hey, where are we?"
Claire,Female,Playable,Huh?
Steve,,Playable,Latitude 82.17 degrees.
Steve,,Playable,"That’s...the Antarctic, we're over the Antarctic!"
Claire,Female,Playable,What?!
Claire,Female,Playable,Hey those are the sea planes we saw leave the island right before us.
Steve,,Playable,Then that must mean...this place belongs to Umbrella!
Claire,Female,Playable,"Hey, wake up Steve."
Steve,,Playable,We're...still alive.
Claire,Female,Playable,Thanks.
Steve,,Playable,"Oh uh, the planes trashed, lets split up and find another way off this oversized freezer."
Claire,Female,Playable,Right.
Steve,,Playable,"Okay, lets do it."
Steve,,Playable,"Claire, it looks like there’s an Australian observation base about seven miles away from here, that should be our target."
Claire,Female,Playable,"Then if we could break through the wall with that digging vehicle, we might have a chance."
Steve,,Playable,"Okay, lets do it!"
Claire,Female,Playable,Steve watch out!
Steve,,Playable,No! Its toxic gas.
Claire,Female,Playable,Come on!
Steve,,Playable,Its all my fault.
Claire,Female,Playable,"Don't say that, listen to me, we'll escape from here...together. Come on we've have to shut off the gas, if we split up we'll have a better chance of stopping it."
Steve,,Playable,Okay
Claire,Female,Playable,Steve! Don't forget we'll get out of here...together.
Steve,,Playable,"Claire, it looks like there’s an Australian observation base about seven miles away from here, that should be our target."
Claire,Female,Playable,"Great news and take a look at that, its a digging vehicle, if we break the wall with that we might have a chance."
Steve,,Playable,"Okay, lets do it!"
Claire,Female,Playable,Steve watch out!
Steve,,Playable,No! Its toxic gas.
Claire,Female,Playable,Come on!
Steve,,Playable,Its all my fault.
Claire,Female,Playable,"Don't say that, listen to me, we'll escape from here...together. Come on we've have to shut off the gas, if we split up we'll have a better chance of stopping it."
Steve,,Playable,Okay
Claire,Female,Playable,Steve! Don't forget we'll get out of here...together.
Claire,Female,Playable,Ah we're safe now.
Alfred,Male,Non-Playable,"Think again Claire, I’ll shall enjoy watching you shriek in agony."
Steve,,Playable,Not this time!
Alfred,Male,Non-Playable,You again!
Claire,Female,Playable,What was that?
Steve,,Playable,Claire what are you doing? Lets go.
Steve,,Playable,Are you ready? I'm going to bust through that wall.
Claire,Female,Playable,Go for it!
Steve,,Playable,Right.
Steve,,Playable,Claire maybe we can escape through there.
Claire,Female,Playable,Come on lets go.
Steve,,Playable,"Claire come on, finally we can get out of this insane place."
Claire,Female,Playable,"Okay, lets go."
Steve,,Playable,"Come on lets go, what are you scared?"
Steve,,Playable,Move it!
Claire,Female,Playable,No Steve!
Claire,Female,Playable,Hold on I’ll wait for that monster and come back.
Steve,,Playable,"Claire, forget about me, run!"
Claire,Female,Playable,I've got you now!
Claire,Female,Playable,Steve!
Claire,Female,Playable,Are you alright?
Steve,,Playable,"Claire, your alive"
Steve,,Playable,"I'm sorry, I failed you"
Claire,Female,Playable,"Don't worry about it, lets go"
Steve,,Playable,I swear I’ll protect you next time Claire
Claire,Female,Playable,We did it! We're finally out!
Steve,,Playable,Look there's a snow mobile over there
Claire,Female,Playable,Perfect! We'll be able to drive right over to the Australian base with this!
Alfred,Male,Non-Playable,I won't forget about this Claire.
Alfred,Male,Non-Playable,Alexia...
Alfred,Male,Non-Playable,Alexia...your finally awake...Alexia
Steve,,Playable,Huh! What is that?!
Chris,Male,Playable,Following up on a lead given to me by Leon has brought me     here.
Chris,Male,Playable,"Don't worry Claire, I’m coming to get you."
Rodrigo,Male,Non-Playable,I didn't expect to find another living person left on this island.  Who are you?
Chris,Male,Playable,I came here looking for a certain girl.
Rodrigo,Male,Non-Playable,A girl?
Chris,Male,Playable,Have you seen anyone named Claire Redfield?
Rodrigo,Male,Non-Playable,Did you just say Claire?
Chris,Male,Playable,"You know who she is, don't you?!"
Rodrigo,Male,Non-Playable,"Don't worry about her, I helped her escape, several planes took off  from this island not long ago, well I can't say for certain, she was  probably on one of them."
Chris,Male,Playable,"I see, I guess my sister owes you, thanks for helping."
Rodrigo,Male,Non-Playable,"Everyone's gone, you'll be the only other person left, go on, follow  your sister and get off this island."
Chris,Male,Playable,Hold on! Don't give up!
Rodrigo,Male,Non-Playable,"Looks like I can meet my family again, here take this."
Chris,Male,Playable,What?
Rodrigo,Male,Non-Playable,"She gave this to me as a token of thanks for saving her, I don't need  it any...more."
Alexia,Female,Non-Playable,"There was friendly, but nieve King, who wed a very nasty Queen..."
Chris,Male,Playable,Who is that?
Alexia,Female,Non-Playable,"...then King was loved but, the Queen was feard."
Alexia,Female,Non-Playable,Till one day...
Wesker,Male,Non-Playable,Alexia?! No! She's already fully awake.
Alexia,Female,Non-Playable,...strolling in his court an arrow pierced the kind King's heart...
Wesker,Male,Non-Playable,"Chris...oh little fishy, come see my hook."
Alexia,Female,Non-Playable,...he lost his life and his lady love.
Wesker,Male,Non-Playable,Chris...I'm sending some company to keep you entertained.
Wesker,Male,Non-Playable,"Consider this a small welcoming gift from me, enjoy."
Wesker,Male,Non-Playable,Long time no see Chris.
Chris,Male,Playable,Wesker?! Still Alive?!
Chris,Male,Playable,What are you doing here?
Wesker,Male,Non-Playable,I came for Alexia.
Chris,Male,Playable,Who?
Wesker,Male,Non-Playable,An organization hired me to capture her.
Chris,Male,Playable,"Wait, you attacked the island! And my sister!"
Wesker,Male,Non-Playable,"You have no idea how much I hate you, you destored my plans, so now I sold my soul to a new organization. Now die."
Wesker,Male,Non-Playable,"Here's a little secert Chris, I figured out that your sister is now in the Antartic with Alexia, it's to bad you'll never be seeing her again."
Wesker,Male,Non-Playable,Alexia?
Chris,Male,Playable,"Hold on Claire, I'll save you."
Chris,Male,Playable,...Claire.
Claire,Female,Playable,Chris!
Claire,Female,Playable,I missed you so much.
Chris,Male,Playable,"I know, but we have to get out of here."
Claire,Female,Playable,"Not yet, we have to find Steve."
Chris,Male,Playable,Who's Steve?
Claire,Female,Playable,"He's a boy who escaped from that island with me, but then a monster  attacked us and we got seperated."
Chris,Male,Playable,So that means Steve is still some where on this base?
Claire,Female,Playable,I'm sure of it
Chris,Male,Playable,It's Alexia!
Claire,Female,Playable,Alexia? There really is an Alexia?
Alexia,Female,Non-Playable,It is almost time you declivity inferior siblings.
Chris,Male,Playable,After her! She might know where Steve is!
Claire,Female,Playable,Lets go!
Claire,Female,Playable,Chris!
Steve,,Playable,No!
Chris,Male,Playable,"Just go, I'll be fine."
Claire,Female,Playable,But Chris...
Chris,Male,Playable,"You've got to save Steve, go!"
Claire,Female,Playable,Steve?
Steve,,Playable,Ugh... Claire?
Claire,Female,Playable,"No, I can't do it! Who did this to you?"
Steve,,Playable,"That crazy woman told me she was going to perform the same experiment on me that she on her own father, she completely insane"
Claire,Female,Playable,Whats wrong?
Steve,,Playable,Claire...can't breathe...Claire...help me...Claire!
Claire,Female,Playable,Steve!
Claire,Female,Playable,No wait!
Steve,,Playable,C..Claire.
Claire,Female,Playable,Oh Steve.
Steve,,Playable,Your warm
Claire,Female,Playable,"Steve, you've got to hang in there, okay? My brother's come to save us. We're getting out of here."
Steve,,Playable,"Your... brother kept his promise, I'm sorry I can't not."
Claire,Female,Playable,What? What are you saying?
Steve,,Playable,"I'm glad that I met you, I..I love you..C..Claire."
Claire,Female,Playable,Steve? Steve? Steve?!
Wesker,Male,Non-Playable,"At last, I found you Alexia. Come with me."
Alexia,Female,Non-Playable,You want it? You are not worthy of its power.
Wesker,Male,Non-Playable,You're coming with me.
Wesker,Male,Non-Playable,Chris!
Chris,Male,Playable,Wesker...
Wesker,Male,Non-Playable,"Chris, since your one of my best men, i'll let you handle this."
Chris,Male,Playable,Claire? Is that you Claire?!
Claire,Female,Playable,Chris?
Chris,Male,Playable,"No! The door wont open. Hey, is Steve with you?"
Claire,Female,Playable,Steve...he...
Chris,Male,Playable,"Listen Claire, you have to get out of here immediatly, can you unlock it from the inside?"
Claire,Female,Playable,"No, I can't."
Claire,Female,Playable,"Chris, there should be a self-destruct system somewhere, If you  activate it, all the electronic locks might be deactivated."
Alarm,,Non-Playable,This facility will detinate in 5 minutes. All doors are now unlocked.
Claire,Female,Playable,You made it!
Chris,Male,Playable,"Of course, come on! Lets get out of here."
Claire,Female,Playable,What are we going to do?
Chris,Male,Playable,"Okay, turn the key clockwise similaniously on three."
Claire,Female,Playable,Got it.
Chris,Male,Playable,One...Two...Three.
Alarm,,Non-Playable,Initiating energy injection. Warning the saftey bar will not be released until charging is complete.
Chris,Male,Playable,"I'll keep her busy, just go for the emergency elevator."
Claire,Female,Playable,Chris but..
Chris,Male,Playable,"I can take care of this, just go!"
Claire,Female,Playable,"You have to make it, don't die on me!"
Claire,Female,Playable,Chris!
Wesker,Male,Non-Playable,Move!
Chris,Male,Playable,Claire! No!
Claire,Female,Playable,Chris!
Wesker,Male,Non-Playable,"Well done Chris, it turns out that Alexia's work wasn't much of  anything, so now the only thing left now is revenge."
Chris,Male,Playable,"Let her go Wesker, you don't want her!"
Wesker,Male,Non-Playable,Fine
Chris,Male,Playable,Claire!
Wesker,Male,Non-Playable,"Today's a good day, I came for Alexia, but killing you is even better."
Chris,Male,Playable,Sorry to disspoint you but Alexia is gone.
Wesker,Male,Non-Playable,"Thats no longer a concern to me, I have Steve to work with."
Claire,Female,Playable,What?
Chris,Male,Playable,Steve?
Wesker,Male,Non-Playable,"In his body, theres still a little T-Alexia virus. Steve should be a good specimen. Maybe he'll come back alive, just as I did. An be able to see your sister again."
Chris,Male,Playable,You freak!
Claire,Female,Playable,Don't you touch him!
Wesker,Male,Non-Playable,"I'm sorry dear heart, but my men have already taken him."
Chris,Male,Playable,You get out of here Claire.
Claire,Female,Playable,But what about...?
Chris,Male,Playable,"As a surviving member of S.T.A.R.S., I have to do this."
Claire,Female,Playable,"Okay, remember your promise."
Chris,Male,Playable,"I'll end this once and for all, say 'hello' to my commards who you've killed."
Wesker,Male,Non-Playable,I don't know where you get your confidence Chris.
Alarm,,Non-Playable,The self destruct system has been activated. All personel evacuate immediately.
Alarm,,Non-Playable,The self destruct system has been activated. All personel evacuate immediately.
Wesker,Male,Non-Playable,"Sure i'm not human anymore, but look at the power i've gained."
Wesker,Male,Non-Playable,"Magnificant, don't you think?"
Wesker,Male,Non-Playable,Nice try.
Chris,Male,Playable,Wesker.
Wesker,Male,Non-Playable,"Today's your lucky day, next time we meet, don't count on another."
Chris,Male,Playable,Next time.
Wesker,Male,Non-Playable,Until we meet again.
Claire,Female,Playable,Chris where are you?
Claire,Female,Playable,Chris!
Chris,Male,Playable,"Hey, you know I always keep my promises."
Claire,Female,Playable,"Chris promise me, please promise that you won't leave me alone again."
Chris,Male,Playable,"I'm sorry Claire, but its not over yet, there's still something we have to do."
Claire,Female,Playable,You mean...
Chris,Male,Playable,"Yeah, it's pay back time, we gotta destory Umbrella, now let's finish this once and for all!"
