Character,Gender,Playable,Line
Enrico,Male,Non-Playable,"Rebecca, I can hear you now listen up! We've obtained detailed information on the fugitive from a document found in the wrecked wagon. Billy Coen killed as many as 23 people. Over."
Rebecca,Female,Playable,(nervous) 23 people.
Enrico,Male,Non-Playable,"We've also confirmed that he was institutionalized, so keep your guard up. Can you hear me, Rebecca? Over. Stay alert, Rebecca. He wouldn't think twice about killing you."
Rebecca,Female,Playable,Enrico? Captain! Hello? HELLO?
Billy,Male,Playable,It's gonna be dangerous from here on in. Why don't we cooperate?
Rebecca,Female,Playable,Cooperate? With you?
Billy,Male,Playable,"(annoyed) Listen, little girl, if you haven't noticed there's some pretty freaked out things on this train. And I, for one, wanna get out of here. I don't think we stand a chance of doing it alone."
Rebecca,Female,Playable,You expect me to trust you? A wanted felon? I don't need your help. I can handle this on my own. And don't call me little girl!
Billy,Male,Playable,"(flips Rebecca's hair with his finger) Ha, all right, Miss Do-It- Yourself. What should I call you?"
Rebecca,Female,Playable,"The name is Rebecca Chambers, but that's Officer Chambers to you."
Billy,Male,Playable,"(mocking) Well then, Rebecca. (Leans against the door) Why don't you go and try while I wait here."
Rebecca,Female,Playable,"Umm, excuse me sir? (Shakes the man's shoulder) Sir?"
Rebecca,Female,Playable,(gasps)
Rebecca,Female,Playable,(panting)
Billy,Male,Playable,Are you ok?
Rebecca,Female,Playable,(gives a thumbs up)
Billy,Male,Playable,Humph.
Billy,Male,Playable,Who is that guy?
Rebecca,Female,Playable,Unh!
Rebecca,Female,Playable,What's going on? Who's controlling the train?
Billy,Male,Playable,Go and check out the first engine car.
Billy,Male,Playable,"Listen! We gotta cooperate with each other from now on, you got that?"
Rebecca,Female,Playable,"Well, I don't."
Billy,Male,Playable,"(angry) Clue in, girl! Or maybe you like being worm bait?"
Rebecca,Female,Playable,(angry) All right! But you just remember I will shoot you if you try anything funny.
Billy,Male,Playable,Fine. Now take these with you.
Billy,Male,Playable,"If you find anything, give me a call all right?"
Soldier,,Non-Playable,"This is Delta Team, this is Delta Team. We have gained control of the train. Over."
Wesker,Male,Non-Playable,Understood.
Birkin,Male,Non-Playable,"This does not make any sense. How was the T-Virus leaked? And why did it contaminate both the lab in the mansion, as well as a train almost three miles away?"
Wesker,Male,Non-Playable,That's irrelevant! We must make sure no knowledge of this gets out. Destroy the train. Completely!
Wesker,Male,Non-Playable,How far away are you from the nearest branch line?
Soldier,,Non-Playable,About ten minutes to..
Wesker,Male,Non-Playable,What happened?
Billy,Male,Playable,The train will either derail or crash. I have to stop this thing!
Rebecca,Female,Playable,I'll go over to the back deck and manipulate the control panel for the brake. You stay here and apply the brake when ready.
Billy,Male,Playable,Ok.
Billy,Male,Playable,Rebecca!
Rebecca,Female,Playable,Hmm?
Billy,Male,Playable,"Don't screw up, ok?"
Rebecca,Female,Playable,(confidently placing her hand on her hip) I won't.
Rebecca,Female,Playable,(shocked) Edward! No..
Rebecca,Female,Playable,Stop! Don't come any closer!
Rebecca,Female,Playable,This is Rebecca. I have engaged the control device for the brake. Over.
Billy,Male,Playable,Roger! I'll put the brake on now!
Billy,Male,Playable,"I'll go over to the back deck and manipulate the control panel for the brake, then you apply the brake from here, ok?"
Rebecca,Female,Playable,All right.
Rebecca,Female,Playable,Billy!
Billy,Male,Playable,What?
Rebecca,Female,Playable,Be careful.
Billy,Male,Playable,Yeah.
Billy,Male,Playable,This is Billy. I have engaged the control device for the brake. Over.
Rebecca,Female,Playable,Roger. I'll put the brake on now!
Billy,Male,Playable,(mumbling) Rebecca..Rebecca!
Rebecca,Female,Playable,I'm..here.
Billy,Male,Playable,"Are you all right? Hey, we managed to stop the train."
Rebecca,Female,Playable,Yes..we managed.
Billy,Male,Playable,We have to find a way out.
Billy,Male,Playable,The Umbrella Research Center?
Rebecca,Female,Playable,(gasps)
Billy,Male,Playable,"The first general manager, Dr. James Marcus."
Birkin,Male,Non-Playable,Who on earth are those people?
Wesker,Male,Non-Playable,"She's just a rookie, a member of S.T.A.R.S."
Birkin,Male,Non-Playable,"Hmm, and what about the male."
Wesker,Male,Non-Playable,I'm unfamiliar with him.
Birkin,Male,Non-Playable,Hmm?
Voice,,Non-Playable,"Attention! This is Dr. Marcus. Please be silent as we reflect upon our company motto. Obedience breeds discipline, discipline breeds unity, unity breeds power, power is life."
Wesker,Male,Non-Playable,Who are you?
Leech,,Non-Playable,"It was I who scattered the T-Virus in the mansion, needless to say I contaminated the train too."
Birkin,Male,Non-Playable,What?
Leech,,Non-Playable,Revenge..on Umbrella!
Birkin,Male,Non-Playable,Dr. Marcus?
Leech,,Non-Playable,"Ten years ago, Dr. Marcus was murdered by Umbrella. You helped them, didn't you?"
Rebecca,Female,Playable,"Augh! Ahhh, Billy!"
Billy,Male,Playable,Rebecca!
Billy,Male,Playable,Rebecca! Are you all right?
Rebecca,Female,Playable,"Yes, thank you."
Rebecca,Female,Playable,I'm almost there.
Billy,Male,Playable,Glad I could be of service. Time to go inside.
Leech,,Non-Playable,"You are wasting your time. I have already claimed this place for myself, which means you are trespassing and I am very territorial. (laughs)"
Birkin,Male,Non-Playable,"It just doesn't make sense. Do you honestly believe this to be the real identity of that crazy young man? Impossible. But, if somehow it is true then Umbrella will be finished."
Wesker,Male,Non-Playable,"If the old conspiracy against Dr. Marcus is revealed Mr. Spencer's career will be over, not to mention ours too. So, the time has come at last."
Birkin,Male,Non-Playable,What are you going to do?
Wesker,Male,Non-Playable,I will simply say goodbye to Umbrella. The biological weapon utilizing the T-Virus has almost been completed. Our only remaining task is to acquire combat data.
Birkin,Male,Non-Playable,"You can't be serious! I refuse to abandon my work! I've finished my research on the T-Virus, but I need a little more time to complete the more powerful G-Virus."
Wesker,Male,Non-Playable,"Do as you wish, I will follow my initial plan and lure the S.T.A.R.S. members into the mansion."
Wesker,Male,Non-Playable,Their superior combat training should make them perfect test subjects. (laughs)
Birkin,Male,Non-Playable,"Fine, in the meantime, something must be done about that madman. As I recall, URC is equipped with a self-destruct device in the basement. I'll find it, set it off, and annihilate the place to nothing more than a mass of rubble."
Rebecca,Female,Playable,I can't..hold on.
Billy,Male,Playable,"Rebecca! Hang on, I'll pull you up."
Rebecca,Female,Playable,Thank you.
Billy,Male,Playable,"Don't mention it, just keeping my word. We promised to cooperate with each other, remember?"
Rebecca,Female,Playable,This is Rebecca. Over.
Enrico,Male,Non-Playable,"Rebecca, this is Enrico. Have you managed to locate Coen yet? Over."
Enrico,Male,Non-Playable,"Rebecca, answer me."
Rebecca,Female,Playable,"No, sir, I've not found him yet. I'll continue to search for him. Over."
Billy,Male,Playable,Rebecca.
Rebecca,Female,Playable,"My first mission and I've already disobeyed orders. So much for my great law enforcement career. Oh well, I probably won't live long enough to worry about it? Billy, I just need to know, I need to know the truth. Did you kill 23 people? I won't judge you; I just want to know the truth."
Billy,Male,Playable,(sighs) It was around this time last year.
Billy,Male,Playable,"Our unit was ordered to Africa, to intervene in a civil war. Our mission was to raid a hideout of some guerilla forces located deep inside the jungle."
Billy,Male,Playable,Only there was no guerilla hideout.
Rebecca,Female,Playable,What do you mean?
Billy,Male,Playable,"(angry) The idiots in charge had us operating on wrong information! But, we couldn't just go home empty handed, oh no. Our leader ordered us to attack an innocent village."
Commander,,Non-Playable,Get rid of them! Kill them all!
Billy,Male,Playable,"Please, sir! Cease fire immediately!"
Commander,,Non-Playable,Shut up!
Commander,,Non-Playable,Do it!
Billy,Male,Playable,No! Don't! Stop!
Rebecca,Female,Playable,So did you execute those innocent people?
Billy,Male,Playable,"Forget about it. It doesn't matter anymore. That was then, this is now. Besides, you said you wouldn't judge me."
Rebecca,Female,Playable,"I'm not judging you, but it does matter. Look, now my people think you killed those MPs in the van, but I don't think you did."
Rebecca,Female,Playable,"It was those zombie dogs, right? When they attacked the van you were able to escape. I, isn't that right?"
Billy,Male,Playable,You don't get it.
Billy,Male,Playable,I've only got two choices left. Either report to the Marines and serve out my sentence or keep on running for as long as I can. That's all.
Computer,,Non-Playable,Battle sequence initiated. Locking door.
Computer,,Non-Playable,Battle sequence complete. Unlocking door.
Billy,Male,Playable,"(pouring over the album) Judging from the age, that guy could be Marcus' son, or grandson."
Rebecca,Female,Playable,"(gasps) That guy must be Marcus' son, or grandson."
Billy,Male,Playable,Maybe I could use this.
Rebecca,Female,Playable,Rebecca here. Over.
Billy,Male,Playable,"Billy. I found something here that might make you happy, it's an aerial cable car."
Rebecca,Female,Playable,"Really? That's great, now we can get out."
Billy,Male,Playable,"Yep, let's regroup as soon as possible."
Rebecca,Female,Playable,Roger.
Rebecca,Female,Playable,Now this is more like it.
Billy,Male,Playable,Billy here.
Rebecca,Female,Playable,"Billy, I found an air cable car. We can get out of this place."
Billy,Male,Playable,"(excited) Wait there, I'm coming!"
Rebecca,Female,Playable,Roger. The sooner we get out of here the better. Out.
Rebecca,Female,Playable,(gasps)
Billy,Male,Playable,Argh!
Rebecca,Female,Playable,Billy!
Rebecca,Female,Playable,(gasps)
Rebecca,Female,Playable,Don't shoot!
Enrico,Male,Non-Playable,"(relieved, lowers his weapon.)"
Rebecca,Female,Playable,You're alive!
Enrico,Male,Non-Playable,"Are you okay, Rebecca?"
Rebecca,Female,Playable,Where is everybody?
Enrico,Male,Non-Playable,(looks around) They should have arrived here before me. Haven't you seen them?
Enrico,Male,Non-Playable,"That's unfortunate. If we go straight from here we should arrive at an old mansion, which Umbrella uses for research. Come on, let's go."
Rebecca,Female,Playable,Wait! I've gotta find Billy.
Enrico,Male,Non-Playable,Billy Coen? You mean you've found that criminal?
Rebecca,Female,Playable,"Yes, but we got separated and.."
Enrico,Male,Non-Playable,"No point worrying about him. He won't make it. Come on, let's go!"
Rebecca,Female,Playable,"Sir, please. I need to find him. Don't worry, I'll catch up with you."
Enrico,Male,Non-Playable,"Rebecca.. (sighs) All right, just be careful."
Rebecca,Female,Playable,I never saw him again.
Rebecca,Female,Playable,What is that?
Leech,,Non-Playable,(laughs) Playtime is over. You and your friends no longer amuse me. Good riddance. Now nothing will stop me from getting my revenge!
Rebecca,Female,Playable,Billy!
Rebecca,Female,Playable,Billy!
Rebecca,Female,Playable,"No, Billy!"
Rebecca,Female,Playable,Billy!
Billy,Male,Playable,Rebecca..where am I?
Rebecca,Female,Playable,You're safe now. Are you ok?
Rebecca,Female,Playable,Hmm?
Rebecca,Female,Playable,What could have done this?
Billy,Male,Playable,They must have been used as test subjects in Marcus' research. He must have kept messing around with the Mother Virus!
Rebecca,Female,Playable,(concerned) Billy?
Leech,,Non-Playable,"Welcome, young ones. So glad you have joined the party. You are the guests of honor, after all it's your wake."
Billy,Male,Playable,Who are you?
Billy,Male,Playable,Dr. Marcus?
Rebecca,Female,Playable,"no, you can't be!"
Marcus,Male,Non-Playable,"(laughs) Ten years ago, Spencer had me assassinated."
Wesker,Male,Non-Playable,"Ah, time to die, doctor."
Birkin,Male,Non-Playable,I will take over your research. (laughs)
Marcus,Male,Non-Playable,(weakly) Wesker..Birkin..
Marcus,Male,Non-Playable,"However, something wondrous happened, it took the T-Virus inside of my queen years to procreate my new life."
Marcus,Male,Non-Playable,"I live. Now I will have my revenge on Umbrella, and the world will burn in an inferno of hate! (laughs)"
Billy,Male,Playable,You'll pay for what you've done!
Marcus,Male,Non-Playable,We'll see which one of us is gonna die! (laughs)
Billy,Male,Playable,Huh?
Rebecca,Female,Playable,(gasps)
Rebecca,Female,Playable,What?
Billy,Male,Playable,It's the Queen!
Computer,,Non-Playable,The self-destruct has been activated. All personnel evacuate immediately.
Rebecca,Female,Playable,Who activated the self destruct system?
Billy,Male,Playable,Come on! Can't this thing move any faster?
Billy,Male,Playable,Shit!
Rebecca,Female,Playable,"Billy, it can't handle sunlight! We need to open the windows!"
Billy,Male,Playable,Follow me!
Billy,Male,Playable,You work on the windows!
Rebecca,Female,Playable,Got it!
Billy,Male,Playable,I'll use my charm to distract her majesty.
Rebecca,Female,Playable,Billy!
Billy,Male,Playable,"Hey, Queenie! Feast on this!"
Rebecca,Female,Playable,Billy!
Billy,Male,Playable,"Rebecca, hurry!"
Rebecca,Female,Playable,Hey that must be the old mansion Enrico was talking about.
Rebecca,Female,Playable,"I guess it's time to say goodbye. Officially, Lt Billy Coen is dead."
Billy,Male,Playable,"Yeah, I'm just a zombie now."
Billy,Male,Playable,"Thank you, Rebecca."
