Character,Gender,Playable,Line
Liz's father,Male,Non-Playable,"Liz? Liz, is that you?"
Leon,Male,Playable,...Careful.
Liz's father,Male,Non-Playable,(As he embraces his daughter) Liz!
Liz,Female,Non-Playable,Dad! Where are mom and Liam?
Liz's father,Male,Non-Playable,They...they already got out. They're waiting for us at home.
Leon,Male,Playable,How do we get out of this place?
Liz's father,Male,Non-Playable,The underground parking lot. The elevator is up ahead. Hopefully it still works.
Leon,Male,Playable,Let's get this out of our way.
Liz's father,Male,Non-Playable,I'm glad you guys were here.
Helena,Female,Playable,Oh my God...!
Leon,Male,Playable,She's already gone! Shoot her!
Helena,Female,Playable,But...! (After killing Liz) I... I can't believe this.
Leon,Male,Playable,Well get used to it. It's either them or us - and they don't hesitate.
Helena,Female,Playable,Why did this have to happen? (Hearing zombie's moaning) I don't think we're alone in here...
Leon,Male,Playable,Helena! Grab your gun. (After a group of zombies enter the elevator) Shit! Don't let them in! (Seeing hordes of zombies outside the parking lot gate) That's our cue to get the hell out of here.
Helena,Female,Playable,I couldn't agree more.
Hunnigan,Female,Non-Playable,"...90% of the population in Tall Oaks have been infected with the virus. That rounds out to about 70,000 hostiles. We also received word that an organization named ""Neo Umbrella"" just claimed responsibility for the attack."
Leon,Male,Playable,Neo Umbrella?
Hunnigan,Female,Non-Playable,I know what you're thinking.
Leon,Male,Playable,Yeah. This is Raccoon City all over again.
Hunnigan,Female,Non-Playable,That's all the news I've got. Now it's your turn to help me. I need to know what's in that cathedral. I've got suits breathing down my neck for info.
Leon,Male,Playable,Suits?
Hunnigan,Female,Non-Playable,"Specifically, Derek C. Simmons- National Security Advisor."
Bus Driver,,Non-Playable,Hang on!
Leon,Male,Playable,Grab hold of something!
Leon,Male,Playable,They escape the infection... only to die like this.
Helena,Female,Playable,There's no time to grieve. We have to get to the cathedral.
Man 1,Male,Non-Playable,Are you...?
Leon,Male,Playable,"Sorry, guys. We're not rescue workers."
Helena,Female,Playable,"There's a secret door by the altar that leads underground, but we need to find a way to open it."
Leon,Male,Playable,You wanna tell me what's down there?
Helena,Female,Playable,It's better if I show you.
Helena,Female,Playable,What is that thing?
Leon,Male,Playable,You're asking me?
Woman 1,Female,Non-Playable,Are you OK!?
Leon,Male,Playable,I'm guessing that's what unleashed this hell.
Leon,Male,Playable,What the hell is all this?
Helena,Female,Playable,None of these were here three days ago.
Leon,Male,Playable,...Ada!? Is this what you wanted to show me?
Helena,Female,Playable,No! I thought...
Helena,Female,Playable,Deborah! Deborah! Can you hear me?
Deborah,Female,Non-Playable,Helena...?
Helena,Female,Playable,Thank goodness!
Leon,Male,Playable,"OK, enough with the mystery. What the hell is going on here?"
Helena,Female,Playable,"Let's just get her out of here, then I'll tell you everything. I promise."
Helena,Female,Playable,"Deborah! Just hold on, we're almost there... Deborah, stay with me, all right? No! Deborah! No! No... No, this can't be happening!"
Leon,Male,Playable,Ada!
Ada,Female,Playable,You look like you've seen a ghost.
Leon,Male,Playable,"Ada, what the hell is going on here?"
Ada,Female,Playable,It's complicated. But this isn't the time or the place.
Helena,Female,Playable,No more tears.
Helena,Female,Playable,Not until I avenge your death.
Helena,Female,Playable,Please...
Helena,Female,Playable,Forgive me. I'll make him pay for this.
Helena,Female,Playable,Look at me! It's gonna be OK. Look at me. Look at me! It's gonna be OK! Just keep your eyes on me.
Deborah,Female,Non-Playable,Help me…
Helena,Female,Playable,"I'm gonna get you out of here, Deborah! Deborah, look at me. We're gonna get through this!"
Helena,Female,Playable,"Not her! Not my sister! Take me! Please! I'll do anything. Please! Please, please don't hurt her! Deborah!"
Helena,Female,Playable,I didn't know what else to do. So I helped him. I helped Simmons breach the president's security.
Ada,Female,Playable,"That sounds like Simmons, all right."
Leon,Male,Playable,Why the hell would he do all this?
Ada,Female,Playable,"Long story. We're up against the people who really run this country…in a very dangerous game, and if you don't play your hand right…"
Hunnigan,Female,Non-Playable,"Leon, where are you?"
Leon,Male,Playable,Is Simmons there?
Hunnigan,Female,Non-Playable,Yes...
Leon,Male,Playable,"Hunnigan, you need to be more careful."
Leon,Male,Playable,I think he's the one who did all-
Simmons,Male,Non-Playable,Did I hear my name?
Helena,Female,Playable,Simmons.
Simmons,Male,Non-Playable,"The president spoke highly of you, Agent Kennedy."
Leon,Male,Playable,Likewise. He told me you'd been friends for 30 years.
Simmons,Male,Non-Playable,"Tell me, is it true you were the only ones present at the time of his death?"
Leon,Male,Playable,What are you saying?
Simmons,Male,Non-Playable,"Well, you must be aware taht you are both suspects in this attacks?"
Helena,Female,Playable,What!?
Simmons,Male,Non-Playable,"Agent Harper, at the time of the attack, you had abandoned your post, leaving the President vulnerable. You must admit such behavior is suspicious."
Helena,Female,Playable,You son of a bitch! You're the one who planned all of this!
Simmons,Male,Non-Playable,"With what evidence could you base such an outrageous accusation? I am the National Security Advisor. It's my job to prevent terrorist attacks, not cause them."
Helena,Female,Playable,You liar!
Leon,Male,Playable,Helena!
Simmons,Male,Non-Playable,"If the two of you feel so strongly about your innocence, then you should have no problem turning yourselves in."
Helena,Female,Playable,I'm going to make him pay!
Leon,Male,Playable,Looks like things just went from bad to worse.
Helena,Female,Playable,He's sterilizing the area.
Leon,Male,Playable,And destroying the evidence.
Helena,Female,Playable,How could he?
Hunnigan,Female,Non-Playable,Thank God you're still avlie!
Leon,Male,Playable,Where's Simmons?
Hunnigan,Female,Non-Playable,After speaking with you he left... In a hurry.
Leon,Male,Playable,Shit!
Helena,Female,Playable,Where did he go?
Hunnigan,Female,Non-Playable,"As he was leaving, he was talking to someone on the phone."
Hunnigan,Female,Non-Playable,He didn't sound too happy.
Helena,Female,Playable,Any way we can find out where he went?
Hunnigan,Female,Non-Playable,Don't worry. I've got a tail on him.
Hunnigan,Female,Non-Playable,He's on his way to the airport right now where his private jet is preparing to leave for China.
Leon,Male,Playable,China?
Hunnigan,Female,Non-Playable,Yes. Take a look at these.
Helena,Female,Playable,What happened?
Hunnigan,Female,Non-Playable,Another bioterrorism attack.
Hunnigan,Female,Non-Playable,"The BSAA confirmed it was the same one used in Eastern Europe six months ago called the ""C-virus""."
Leon,Male,Playable,C-virus...
Helena,Female,Playable,We saw cocoons just like that here!
Leon,Male,Playable,We need to stop Simmons and take him into custody right away.
Hunnigan,Female,Non-Playable,"We have no evidence, and right now you two are on the top of their list of suspects."
Helena,Female,Playable,No...
Leon,Male,Playable,"Listen, Hunnigan, I need you to fake our deaths. Can you do that?"
Helena,Female,Playable,What?
Hunnigan,Female,Non-Playable,"Of course, but they'll figure it out eventually."
Hunnigan,Female,Non-Playable,What are you going to do?
Leon,Male,Playable,We're going to China.
Helena,Female,Playable,We just entered Chinese airspace.
Leon,Male,Playable,Good.
Leon,Male,Playable,How're you holdin' up?
Helena,Female,Playable,Why didn't you turn me in? You could have cleared your name.
Leon,Male,Playable,"Maybe, but it wouldn't have stopped Simmons. Besides, you're starting to grow on me a little bit."
Leon,Male,Playable,Helena...
Leon,Male,Playable,"You don't suppose that thing can fly a plane, do you?"
Sherry,Female,Playable,Leon?
Leon,Male,Playable,Sherry? What are you doing here?
Sherry,Female,Playable,I'm on protective detail.
Leon,Male,Playable,"Yeah, I heard you became an agent."
Sherry,Female,Playable,Why are you here?
Leon,Male,Playable,I'm tracking the man behind this. Chief Security Advisor Simmons.
Sherry,Female,Playable,What!? There must be some sort of mistake! I report to Simmons!
Leon,Male,Playable,He's your supervisor?
Sherry,Female,Playable,We're on our way to meet with him right now.
Leon,Male,Playable,Where is he? I need to know-
Sherry,Female,Playable,Jake! Let me handle this.
Jake,Male,Playable,It thought your orders were to avoid contact... with anyone.
Sherry,Female,Playable,Leon's not just anyone. He saved me life back in Raccoon City.
Jake,Male,Playable,Fair enough.
Helena,Female,Playable,"Look out! Leon, the plane!"
Jake,Male,Playable,Him again!?
Leon,Male,Playable,Friend of yours?
Jake,Male,Playable,More like an ex-girlfriend. Guy doesn't know when to quit.
Leon,Male,Playable,Welcome to the club.
Leon,Male,Playable,You get used to it.
Leon,Male,Playable,Sherry!
Sherry,Female,Playable,Leon! We're gonna head to the Kwun Lung Building over in Koocheng! That's where I'm meeting with Simmons!
Leon,Male,Playable,"Sherry, Listen! Until we get there, I need you to-"
Helena,Female,Playable,Are they gonna be all right?
Leon,Male,Playable,Let's just hope that Jake kid is as good as he thinks he is.
Leon,Male,Playable,Ada!?
Helena,Female,Playable,Let's follow her.
Leon,Male,Playable,Ada!
Helena,Female,Playable,What the hell is going on?
Leon,Male,Playable,Chris!
Chris,Male,Playable,Leon? What are you doing here?
Leon,Male,Playable,"Put your gun down, Chris. She's a key witness, we need her."
Chris,Male,Playable,A witness!? She's the one who did all this!
Leon,Male,Playable,"No! It wasn't her - it was Simmons, the National Security Advisor."
Chris,Male,Playable,I lost all my men because of her!
Leon,Male,Playable,"And I lost over 70,000 people, including the president, because of Simmons!"
Chris,Male,Playable,She's working for Neo-Umbrella. You know what that means?
Leon,Male,Playable,"Yeah, I do."
Chris,Male,Playable,And you're still going to protect this woman?
Leon,Male,Playable,I am.
Piers,Male,Playable,Captain!
Piers,Male,Playable,Freeze!
Piers,Male,Playable,Damn it!
Leon,Male,Playable,Helena!
Helena,Female,Playable,He's gonna kill her!
Leon,Male,Playable,"Chris, wait! We both want the same thing here."
Chris,Male,Playable,All right. The BSAA will handle Ada. You take care of Simmons.
Leon,Male,Playable,Chris. I know you'll do the right thing.
Helena,Female,Playable,Are you sure we can rely on him?
Leon,Male,Playable,He's been through this as long as I have. I trust him.
Helena,Female,Playable,All right.
Leon,Male,Playable,Come on. Let's find Simmons.
Helena,Female,Playable,Simmons!
Simmons,Male,Non-Playable,"Well, this is unexpected."
Sherry,Female,Playable,No! Wait!
Simmons,Male,Non-Playable,"Ah, Agent Birkin. Impeccable timing. Kindly take these two into custody, won't you?"
Sherry,Female,Playable,They said you were involved in the terrorist attack. Is it true?
Simmons,Male,Non-Playable,"What, are they running down the streets, screaming it to anyone who'll listen?"
Sherry,Female,Playable,Answer me!
Simmons,Male,Non-Playable,It's for the benefit of the United States- and global security.
Leon,Male,Playable,I can't see how killing the president is no good for the country.
Sherry,Female,Playable,The president's dead?
Simmons,Male,Non-Playable,"Well, we have Leon to thank for that."
Helena,Female,Playable,"God damn you, Simmons!"
Simmons,Male,Non-Playable,Dispose of them.
Sherry,Female,Playable,No!
Simmons,Male,Non-Playable,Hold your fire. Those two are still of use to us.
Leon,Male,Playable,You need to be more careful.
Jake,Male,Playable,"All right, all right, so what's the plan, hero?"
Leon,Male,Playable,You think you can make it to that door?
Jake,Male,Playable,Why don't we just waste them?
Leon,Male,Playable,Because I need you to take care of Sherry.
Simmons,Male,Non-Playable,Can we wrap this up? I do have better things to do.
Sherry,Female,Playable,What are you two gonna do?
Helena,Female,Playable,Finish Simmons.
Sherry,Female,Playable,There's information on here that could stop the C-Virus. Simmons wants it.
Leon,Male,Playable,"Thanks. I'll put a call in FOS, get you some protection. Now move!"
Simmons,Male,Non-Playable,Alert the men outside. She got me. Well played.
Helena,Female,Playable,He's getting away!
Leon,Male,Playable,Come on!
Carla,Female,Non-Playable,"I'm just giving you exactly what you gave me, Simmons."
Carla,Female,Non-Playable,"At first, you'll be afraid, but don't worry."
Carla,Female,Non-Playable,You're just becoming the monster you always were.
Carla,Female,Non-Playable,You and everyone else on the planet.
Leon,Male,Playable,"Give it up, Simmons. We've got you."
Simmons,Male,Non-Playable,You still cahse me while that woman is on the loose?
Leon,Male,Playable,What woman?
Simmons,Male,Non-Playable,"That traitor, Ada Wong. Who knows what she's got in store."
Leon,Male,Playable,"Another team was sent after her, but you, Simmons, you're all ours."
Simmons,Male,Non-Playable,"Are you here to avenge the president? Is that it? You fool. Had he disclosed the truth behind Raccoon City, the U.S. would have lost all its authority, and the global political order would have collapsed!"
Helena,Female,Playable,So to avoid one possible disaster you create another? No matter how many people die!?
Simmons,Male,Non-Playable,"He had to be stopped! He was leading my country, this world, into complete chaos! That woman... How dare she do this to me!"
Simmons,Male,Non-Playable,You... have no idea... what would happen if I die!
Leon,Male,Playable,The world would be a better place!
Family member,,Non-Playable,Leave him!
Simmons,Male,Non-Playable,No! How could my Family abandon me!?
Helena,Female,Playable,Jump!
Helena,Female,Playable,Is it over?
Leon,Male,Playable,Yeah...
Leon,Male,Playable,It's over.
Hunnigan,Female,Non-Playable,"Leon, we have a situtation."
Hunnigan,Female,Non-Playable,Sherry and her companion were abducted.
Hunnigan,Female,Non-Playable,Our satellite places them at an undersea oil field about 80 miles from you.
Leon,Male,Playable,Abducted? Why?
Helena,Female,Playable,The files!
Helena,Female,Playable,The ones she gave us!
Helena,Female,Playable,Wait a minute.
Helena,Female,Playable,This is the key to stopping the C-Virus. It's-
Leon,Male,Playable,Jake!
Leon,Male,Playable,"Hunnigan, could you check and see if the BSAA has any units near the oil field?"
Hunnigan,Female,Non-Playable,Just one moment.
Helena,Female,Playable,What is that?
Hunnigan,Female,Non-Playable,"OK, I've got a Chris Redfield on the line."
Hunnigan,Female,Non-Playable,Patching you through to his aircraft.
Leon,Male,Playable,Chris Redfield!?
Chris,Male,Playable,"Leon? Leon, where are you!?"
Leon,Male,Playable,"Chris! We're just outside Tatchi, why?"
Chris,Male,Playable,Get the hell out of there!
Chris,Male,Playable,"Leon!? Leon, are you all right?"
Leon,Male,Playable,Yeah... But things just got bad. Real bad!
Chris,Male,Playable,Damn it!
Leon,Male,Playable,"Chris, listen to me. I need you to rescue two hostages from an underwater oil field. Agent Sherry Birkin...and Jake Muller. He's Albert Wesker's son."
Chris,Male,Playable,Wesker!?
Leon,Male,Playable,"Chris, he's got antibodies for the C-Virus."
Chris,Male,Playable,I got it. On my way.
Leon,Male,Playable,Good. Thanks.
Chris,Male,Playable,"Leon, wait. There's something I need to tell you."
Chris,Male,Playable,Ada Wong is dead.
Leon,Male,Playable,Copy. Sherry and Jake need you. Don't let them down.
Helena,Female,Playable,Are you OK?
Leon,Male,Playable,Let's just find the survivors and get the hell outta here.
Leon,Male,Playable,Come on. I got you.
Leon,Male,Playable,What the...!?
Leon,Male,Playable,Back for more?
Simmons,Male,Non-Playable,"I know what you did, Ada! You disobeyed me! You took Wesker's son away! You used that bastard's blood... to make the virus stronger!"
Leon,Male,Playable,"Hope you got friends on the other side, cause no one's gonna miss you here."
Leon,Male,Playable,She's heading to the roof.
Helena,Female,Playable,Let's hope the elevator still works. What's wrong?
Leon,Male,Playable,It's nothing. Let's go.
Helena,Female,Playable,"She's more than just a friend, isn't she?"
Helena,Female,Playable,You have feelings for her.
Leon,Male,Playable,What are you? Why are you helping us?
Message,,Non-Playable,"Wish I could stay longer, but I've gotta run. I've left you a little parting gift ont he roof. See you down the road, Leon."
Leon,Male,Playable,Ada!
Helena,Female,Playable,What are you waiting for? Go after her.
Leon,Male,Playable,No. We're sticking together.
Leon,Male,Playable,There's our ticket outta here...If we can get to it!
Helena,Female,Playable,"He just doesn't quit, does he?"
Leon,Male,Playable,Enough is enough.
Helena,Female,Playable,That's for my sister.
Leon,Male,Playable,Come on. Let's get to the chopper.
Helena,Female,Playable,Is that Ada's?
Helena,Female,Playable,"Leon, this is-"
Leon,Male,Playable,Evidence that proves Simmons' guilt.
Helena,Female,Playable,Which means it will prove your innocence.
Leon,Male,Playable,Our innocence.
Helena,Female,Playable,I don't need it.
Leon,Male,Playable,Helena.
Hunnigan,Female,Non-Playable,"Good news, Leon."
Hunnigan,Female,Non-Playable,We found a way to defeat the virus.
Leon,Male,Playable,Copy that. We're on our way back.
Leon,Male,Playable,See you soon.
Leon,Male,Playable,Let's go.
Helena,Female,Playable,It's time for me to take responsibility.
Helena,Female,Playable,Thank you.
Helena,Female,Playable,I'm ready.
Helena,Female,Playable,What? But I assisted in the attack!
Hunnigan,Female,Non-Playable,"The investigating commission have reviewed the evidence, and feel it unjust to hold you liable for Simmons' crime. They will also not be disclosing their findings to the public."
Helena,Female,Playable,But...
Leon,Male,Playable,The president would have done the same.
Hunnigan,Female,Non-Playable,"All right, shall we go join the team?"
Helena,Female,Playable,Leon!
Helena,Female,Playable,For the next time you see her!
Leon,Male,Playable,Women.
Jake,Male,Playable,"This stuff do anything for you yet? Supposed to be some kind of energy booster, but I don’t feel any different. You know, between me and you, I think we should’ve asked for more money. A lot more."
Jake,Male,Playable,Pretty sure this wasn’t part of the contract… But I am willing to renegotiate.
Sherry,Female,Playable,Did you take your dose?
Jake,Male,Playable,"Yeah. But if you want your own hit, you gotta sign up with the lady downstairs. Wouldn’t recommend it, though."
Sherry,Female,Playable,No question. You’ve got the antibodies.
Jake,Male,Playable,"Thank you very much. Wait, what?"
Sherry,Female,Playable,"You could be the key to saving this world, Jake Muller."
Jake,Male,Playable,Better save myself first.
Jake,Male,Playable,You lose something?
Sherry,Female,Playable,Just my balance. I’m fine.
Sherry,Female,Playable,"Sherry Birkin, the United States—"
Jake,Male,Playable,"Yeah, yeah, yeah. Good for you, but now’s not really the time. You coming?"
Sherry,Female,Playable,"After you. Those things up there were J’avo, they’re the B.O.W.s the insurgents are using."
Jake,Male,Playable,That explains why there’s a shitload of BSAA troops here.
Sherry,Female,Playable,We need to get out of the country without drawing either party’s attention.
Jake,Male,Playable,Goddamn BSAA! What the hell are you shooting at?
Sherry,Female,Playable,"Everyone in your platoon is one of those J’avo now! And you’re dressed just like them. Come on, we have to get out of here!"
Jake,Male,Playable,"Man, look at this circus. Got any popcorn?"
Sherry,Female,Playable,Stop gawking! We don’t have time!
Jake,Male,Playable,"All right, first things first. I want 200,000 up front, another 200 when this is over. Oh, and B.O.W.s? Those are extra. An additional grand. Each."
Sherry,Female,Playable,I’m not here to hire you.
Jake,Male,Playable,What? Why are you here?
Sherry,Female,Playable,Your blood.
Jake,Male,Playable,"What are you, the Red Cross or something?"
Sherry,Female,Playable,"No, listen those… things that attacked us, they were all exposed to a new virus called the C-Virus. The same strain that you just took a dose of. It didn’t affect you because you’ve got the antibodies. Right now we’re racing against a global bioterrorist attack, and we needed a vaccine yesterday. We need you, Jake. We need your blood."
Jake,Male,Playable,50 million dollars.
Sherry,Female,Playable,What?
Jake,Male,Playable,Cash. Non-negotiable. That’ll get you one pint.
Jake,Male,Playable,Looks like they’re expecting us. We’re gonna have to shoot our way out.
Sherry,Female,Playable,Agreed. We don’t have a choice now.
Jake,Male,Playable,What are you waiting for?
Sherry,Female,Playable,Do I look like a circus acrobat to you? I’ll find another way. Just don’t wander off too far.
Jake,Male,Playable,Don’t worry. I ain’t running till I get my money. Whole place is falling apart. Easy does it.
Sherry,Female,Playable,Give me a hand!
Jake,Male,Playable,This is starting to feel like work.
Sherry,Female,Playable,Looks like the BSAA have got their work cut out for them.
Jake,Male,Playable,You don’t know the half of it. Last I checked my employers had a tank parked on the other side of the river. The only way the BSAA are leaving that bridge again are in bodybags.
Sherry,Female,Playable,No. You’re wrong. They’re more resilient than you can imagine.
Jake,Male,Playable,"Ah what the hell, I’m not one of those ‘roided out freaks, you morons."
Jake,Male,Playable,What do ya think? Fight or flight?
Sherry,Female,Playable,There’s too many of ’em! I’m gonna go with flight!
Jake,Male,Playable,"All right, where to?"
Sherry,Female,Playable,Let’s go! This is a waste of time!
Jake,Male,Playable,"Yeah, no shit!"
Sherry,Female,Playable,Run!
Jake,Male,Playable,Eat this!
Sherry,Female,Playable,Thanks for the warning!
Jake,Male,Playable,"ОК… We go with your plan. Son of a bitch, he’s strong!"
Sherry,Female,Playable,Run!
Jake,Male,Playable,Here goes nothing!
Sherry,Female,Playable,Jake!
Jake,Male,Playable,It’s always something with women!
Jake,Male,Playable,What the hell is that thing?
Sherry,Female,Playable,"He’s tracking us. Well… technically, you."
Sherry,Female,Playable,"Look, we can get out there!"
Jake,Male,Playable,This place looks like it’s gonna collapse too. Somebody outta call the building inspector.
Sherry,Female,Playable,"Yeah. Boy it’s even colder in here than it was outside. Dammit, they found us!"
Jake,Male,Playable,"Shit, don’t these assholes have anything better to do!"
Sherry,Female,Playable,I don’t think he’s too keen on us leaving!
Jake,Male,Playable,"He’ll just have to get over it then, huh!"
Sherry,Female,Playable,You’re not taking Jake!
Jake,Male,Playable,Hope you haven’t forgotten about my 50 million dollars.
Sherry,Female,Playable,I’ll talk to my boss - if we make it out of here alive.
Jake,Male,Playable,"(to Ustanak) What’s wrong, asshole? Losing your nerve? Gotcha, you son of a bitch!"
Sherry,Female,Playable,"I swear, this mission gets harder by the minute. But at least you’re still safe. We’ve got a lot riding on us."
Jake,Male,Playable,"(chuckles) Three years ago I thought I was gonna die in the jungles of South America. Enemy had us surrounded. ’Fore I knew it, everyone on my team was dead. And I’d lost my gun in the scramble. This bastard comes at me with a knife. Probably thought I wasn’t even worth the bullet."
Sherry,Female,Playable,Why are you telling me this?
Jake,Male,Playable,Dying on a blade is the last way you wanna go. It’s a bitch. Mercs like me? We don’t get a say in how we die. That’s just how it goes.
Sherry,Female,Playable,"It’s… kind of what you signed up for, isn’t it?"
Jake,Male,Playable,"Dying for money’s one thing - that’s my choice. But dying for no good reason? That doesn’t sit right with me. ...So. You wanna tell me what that big friggin’ behemoth was, and why he’s trying to kill me?"
Sherry,Female,Playable,That thing is just like the J’avo - a bio-organic weapon created with the C-Virus. He’s being used by a terrorist organization called Neo-Umbrella.
Jake,Male,Playable,Never heard of ’em.
Sherry,Female,Playable,"They want to study the antibodies in your blood, and they don’t care if you’re dead or alive."
Jake,Male,Playable,I was better off as a mercenary.
Sherry,Female,Playable,I’m not gonna let anything happen to you. The world needs you.
Jake,Male,Playable,"No no, not me. Just my blood. Well, the world can have it. Long as someone ponies up the dough."
Sherry,Female,Playable,Sherry Birkin – National Security!
Chris,Male,Playable,Sherry Birkin? You were in Raccoon City.
Sherry,Female,Playable,How do you know that?
Chris,Male,Playable,Claire.
Sherry,Female,Playable,Wait... Are you Chris?
Chris,Male,Playable,My sister’s told me all about you.
Piers,Male,Playable,"Chris, that man is a wanted insurgent."
Sherry,Female,Playable,"Yes, he’s a mercenary. But right now he’s under the protection of the U.S. government. He’s no threat to the BSAA."
Jake,Male,Playable,Unless someone pays me to be.
Piers,Male,Playable,What did you just say?
Jake,Male,Playable,What?
Chris,Male,Playable,Nothing.
Radio,,Non-Playable,HQ to Alpha Team. Reinforcements are unable to land due to anti-aircraft artillery. Take ’em out!
Chris,Male,Playable,"Alpha Team, copy."
Radio,,Non-Playable,What the!? We’re picking up a large bogey on radar. It’s heading right for you!
Chris,Male,Playable,"We’ll talk later. Right now, you need to find cover."
Radio,,Non-Playable,"Alpha Team, come in. This is Echo. Those three anti-aircraft turrets are holding us at bay."
Chris,Male,Playable,"Roger that, Echo, We’ll take care of them for you."
Soldier,,Non-Playable,Our first target’s over here!
Sherry,Female,Playable,Chris! We’ll give you a hand!
Chris,Male,Playable,Out of the question! You need to get to safety!
