Character,Gender,Line
Chris,Male,Take him away.
Ethan,Male,I said get your hands off her!
Chris,Male,"Ethan, no!"
Ethan,Male,Rose…
Chris,Male,Get him out of here.
Ethan,Male,"Hey, Doc."
Doctor,,"Hello, Mr. Winters. I've got your daughter’s results back, and I'd like you to come in to talk about them. How about next Thursday, four o'clock?"
Ethan,Male,"No problem, we'll be there. That was the Doc. She'll see us next week. Hey, now. Think positively, all right? We talked about this."
Mia,Female,"I know. We hardly talk about anything else. I keep telling you, it's not Rose that I'm worried about."
Ethan,Male,"Well then, what are you worried about? Look, she's going to be fine, I just know it! What else matters?"
Mia,Female,"We matter, Ethan! YOU matter! You just won’t—"
Ethan,Male,"Mia, what are you talking about? Is there something you're not telling me? Come on, talk to me!"
Ethan,Male,"Dammit, I have to take this."
Ethan,Male,Ugh… Jesus…
Man,Male,About damn time! What's your status? Is the package safe?
Ethan,Male,"What are you talking about? Where's Chris Redfield, and Rose?"
Man,Male,"Who is this? This is a secure channel, you are not authorized to use this."
Ethan,Male,Fuck! What the hell happened here?
Ethan,Male,What did all this?
Ethan,Male,Where the hell am I?
Ethan,Male,Maybe—maybe they're out?
Ethan,Male,What happened?
Ethan,Male,"Aah! No no! Friendly, friendly!"
Old Man,Male,Who are you? Who sent you?
Ethan,Male,"Nobody! There was an accident, down on the road, and—"
Ethan,Male,What's going on?
Old Man,Male,"Oh, no. They're coming!"
Ethan,Male,Who is? What the hell was that?
Old Man,Male,Do you have a gun?
Ethan,Male,What?
Old Man,Male,Please tell me you have a gun!
Ethan,Male,No. Why would I?
Old Man,Male,It's all I can spare. Take it! Take it!
Ethan,Male,"Tell me what's out there! Hey, are you listening? Hey!"
Ethan,Male,What the—!?
Ethan,Male,Ah! Shit!
Ethan,Male,A dead body? Wait…there's more… Jesus Christ… What the hell is wrong with this place?
Ethan,Male,Get off! Shit!
Ethan,Male,What the fuck was that!? No! St-Stay back!
Ethan,Male,What the hell?
Ethan,Male,Surrounded. Dammit!
Ethan,Male,Is it…over?
Woman,Female,"Hello? If there are any survivors out there, come to my—to Luiza's house near the fields."
Ethan,Male,Survivors?
Ethan,Male,OK. Dammit.
Ethan,Male,There's no end to them!
Ethan,Male,You're kidding me!
Ethan,Male,"Wait, w-wait…"
Old Woman,Female,"In life and in death, we give glory…"
Ethan,Male,"Uh, hello? You shouldn't be out here. It's not safe. What the hell? Hey, can you hear me?"
Old Woman,Female,It's you? The child's father.
Ethan,Male,"Child? Hey, wait-do you mean Rose? Is she here?"
Old Woman,Female,"Rose, Rose, yes! She is in great danger. Since Mother Miranda brought her to the village, we have fallen into darkness!"
Ethan,Male,What are you talking about? The monsters?
Old Woman,Female,The castle bell heralds danger! They're coming!
Ethan,Male,"No, wait! Where's Rose? Who's “Mother Miranda?"
Old Woman,Female,The bell tolls for us all! They're coming again!
Ethan,Male,Rose is here?
Ethan,Male,Guess this leads to the castle.
Frightened Woman,Female,Close the door! Please!
Ethan,Male,"Hey, what are you doing here?"
Old Man,Male,Stay back!
Frightened Woman,Female,"Please, don't hurt us!"
Ethan,Male,Whoa. It's OK. I'm not gonna hurt you. I'm just glad to see normal people at last. Have you seen any other survivors?
Frightened Woman,Female,"No, they're all in Luiza's house. And she's not answering, and the gate is locked."
Old Man,Male,"Quiet, girl! He's an outsider!"
Ethan,Male,"Shit, we're sitting ducks in here. Can your old man walk?"
Frightened Woman,Female,"No, one of the monsters cut him! He's lost a lot of blood—we have to get into Luiza's house!"
Ethan,Male,"Shh… quiet! There must be a way inside. Stay here, be quiet, and don't move until I get those gates open."
Ethan,Male,C'mon—it's clear!
Frightened Woman,Female,"Hurry, hurry!"
Old Man,Male,Took your damn time.
Ethan,Male,You're welcome.
Frightened Woman,Female,"He's not used to relying on other people. I'm sorry. We'll be safe in here, won't we?"
Ethan,Male,"Safer here than out there, that's for sure. Hey, do you know anything about what's going on around here?"
Frightened Woman,Female,It doesn't make any sense. Mother Miranda has always protected us—
Old Man,Male,Nobody's answering! Come help me—
Frightened Woman,Female,"Father!? We have to get inside! Just hold on a bit longer, Papa."
Ethan,Male,Hello? Anybody home?
Frightened Woman,Female,"Maybe a familiar voice… Luiza, open up! It's me, Elena!"
Man,Male,Stop shouting. You'll draw the monsters!
Elena,Female,"Julian, calm down."
Julian,Male,Who's this?
Elena,Female,A friend—
Julian,Male,Stay back!
Elena,Female,"Father! For god's sake, Julian, let us in."
Julian,Male,"No, no, they'll smell the blood—You'll endanger us all!"
Elena,Female,My father will die out here!
Julian,Male,That's not my problem!
Luiza,Female,What's going on?
Julian,Male,These people want to let a dying man into our home.
Luiza,Female,"Come now. “These people” are our friends. Go on, go inside. Come now, this way."
Luiza,Female,You're not from this village…
Ethan,Male,"Uh, no. I’m Ethan."
Luiza,Female,"Julian, go make yourself useful and check the grounds. I said go!"
Luiza,Female,"Well, if Elena trusts you… then so do I. Come inside, Ethan."
Luiza,Female,"Wait here, I'll check on the others."
Luiza,Female,"This way. Come inside, the others are waiting."
Drunk Guy,Male,What the fuck is this? Outsiders—you're going to get us all killed!
Luiza,Female,"Quiet, Anton. He helped Leonardo and Elena."
Leonardo,Male,We were doing fine by ourselves!
Luiza,Female,"Please, Ethan, take a seat."
Ethan,Male,Is this all that's left? From your entire village?
Anton,Male,"All that's left? All that's left!? There is no one left! A worthless invalid! A stupid, wailing bitch…! And you! You drag a bloody man and an outsider in here like it's nothing… …and expect to be all safe? There is no safe! Every sorry bastard out there has been ripped in half! But tomorrow… Tomorrow we'll all be dead. Just like her damn husband! Put a sock in it, Roxana!"
Luiza,Female,"That's enough! This house has protected my family for generations. And drunk or not, you are all welcome—and safe—in here."
Anton,Male,Whatever.
Ethan,Male,Can someone please tell me what the hell is going on here?
Luiza,Female,"We don't know. One day we were a quiet, devout village—and the next the monsters came and attacked us. And they—they kept coming, and—"
Elena,Female,"Wait, Luiza, where is your husband. Did they…?"
Luiza,Female,"No, n-no. He is out there—somewhere… H-He went to get help. Yes, yes, that's—that's it. He went to fetch help."
Roxana,Female,Let us pray. For him. For all of us.
Luiza,Female,Good idea. Come. Gather.
Everyone,,"Great ones, hear our voice, together as one in reverence. We call on thee within the endless dark to deliver us into fate's hands. As the midnight moon rises on black wings, so we make our sacrifice and await the light at the end. In life and in death, we give glory, Mother Miranda."
Luiza,Female,"Now, the tea should be ready. Come help me, Elena, please."
Ethan,Male,That prayer—I've heard it before. There was an old woman near the graveyard.
Leonardo,Male,You mean the hag? Dumb bitch is crazy as a bag of rats.
Luiza,Female,"There is wisdom in her devotion, though… And I hope it protected her as it shall protect us."
Anton,Male,What the fuck are you doing!?
Luiza,Female,"Leonardo, what's wrong? Are you OK?"
Elena,Female,Father!
Ethan,Male,"Elena, no! Stay back!"
Elena,Female,No—let me go!
Ethan,Male,"Oh god, no. He'll kill us both! We have to go!"
Ethan,Male,Elena?
Elena,Female,I said no!
Elena,Female,"Oh my god. I'm so sorry, Father…"
Ethan,Male,"Hey, hey. That wasn't your father anymore. You did the right thing. Elena. Elena, no. There's nothing you can do!"
Elena,Female,Father!
Ethan,Male,This entire place is collapsing!
Elena,Female,Father! Father!
Ethan,Male,You couldn't save him. He was already gone.
Elena,Female,Leave me alone.
Ethan,Male,No. We're getting out of here—together. I gotta get outta here…
Ethan,Male,"Damn, the fire's moving fast!"
Elena,Female,What are you thinking?
Ethan,Male,Step back. We can bust out with this.
Elena,Female,Ethan! Ethan! Are you alright!?
Ethan,Male,I-I'm fine. Let me back up again.
Elena,Female,The fire—there isn't any time!
Ethan,Male,Nowhere to go but up. Grab on. Hurry! Let's move!
Ethan,Male,"Don't worry, and try not to breath in the smoke."
Elena,Female,"I know. Thank you, Ethan. You're kind. I hope your family is safe."
Ethan,Male,"I do too. Once you get out of here maybe you'll get to meet them. Come on, it'll hold."
Ethan,Male,There! That's our way out.
Elena,Female,Thank god! But what then? The village is still full of monsters. We can't fight them! There's too many!
Ethan,Male,Hey! Hey. Don't talk like that. We'll find a safe house to put you in until I can find my daughter. My hunch is she's in that old castle.
Elena,Female,No! That place is full of nothing but blood and death! And I don't want to be alone while you're—
Elena,Female,Father?
Ethan,Male,"Elena, no! That's not him—not anymore!"
Leonardo,Male,Elena…
Elena,Female,He said my name! Father!
Ethan,Male,"Wait, it's not safe!"
Ethan,Male,"Stay there! C'mon, give me your hand!"
Elena,Female,"Ethan, go… Save your daughter!"
Ethan,Male,"Elena, don't give up! Reach for me!"
Ethan,Male,God dammit! Why is everyone dying on me!? This is… this is just too much. I just… don't get it. This place has gone mad. Why the fuck is this happening again!? Shit!
Ethan,Male,Who's there!?
Man,Male,Stop! Mother Miranda!
Ethan,Male,Hey! Who was—what was that?
Old Woman,Female,Death. Yes. Death has visited them all!
Ethan,Male,"“Nothing but blood and death,” huh?"
Heisenberg,Male,"Well, well. Didn't think anyone was left! You must be pretty tough, huh?"
Ethan,Male,Who the fuck are you?
Heisenberg,Male,"Oh, you're not local! Even better."
Heisenberg,Male,Mother Miranda's gonna love you!
Heisenberg,Male,Quit your whining: we're almost there!
Lady Dimitrescu,Female,The man is of no real use to anyone else. And my daughters do so love… entertaining foreigners.
Lady Dimitrescu,Female,"Furthermore, I can assure you if you entrust the mortal to House Dimitrescu, my daughters and I shall deliver to you the finest cups of his slaughtered blood."
Doll,Female,"Out of the way, ugly! I want to see—oh! He’s awake!"
Deformed Freak,,You mean—Y-You mean…?
Heisenberg,Male,"Both of you, shut the fuck up!"
Ethan,Male,What…? Where…?
Heisenberg,Male,"Yo mean you'll screw around with him in private, and where's the fun in that? Give him to me and I’ll put on a show that everybody can enjoy."
Lady Dimitrescu,Female,"Oh, so gauche. What do we care for bread and circuses? The manthing's suffering is assured, regardless."
Heisenberg,Male,"Yack, yack. And if a man’s dick is cut off in the castle—blah, blah, blah!"
Miranda,Female,"I've heard all your arguments. Some of you were less persuasive than others, but… I've made my decision. Heisenberg. The man's fate is in your hands."
Lady Dimitrescu,Female,"Mother Miranda, I must protest! Heisenberg is but a child, and his devotion to you is questionable. Give the mortal to me, and I will ensure he is ready."
Heisenberg,Male,Shut your damn hole and don't be a sore loser! Go find your food somewhere else.
Lady Dimitrescu,Female,"Quiet now, child! Adults are talking."
Heisenberg,Male,I'm the child? You're the one who's arguing with Miranda's decision!
Lady Dimitrescu,Female,You wouldn't know responsibility if it was welded to that hammer!
Heisenberg,Male,"Oh, keep growing, one day your head might actually fit your ego!"
Doll,Female,"Fight, fight, fight, fight!"
Ethan,Male,"Hey, don't I get a say in this?"
Miranda,Female,"SILENCE! My decision is final, there will be no argument. Remember from whence you came!"
Heisenberg,Male,Thank you.
Heisenberg,Male,"Lycans and gentlemen, we thank you for waiting! And now let the games begin! Let's see what you're really made of, Ethan Winters. Get ready!"
Ethan,Male,"No, wait!"
Heisenberg,Male,Ten! Nine! Eight! Seven! Six! Five! Four! Three! Two! One! Showtime!
Ethan,Male,Agh! Jesus Christ!
Heisenberg,Male,"That's right! Run for your life! Very nice, Ethan!"
Ethan,Male,"No, no!"
Heisenberg,Male,You're still alive? Impressive…
Ethan,Male,Oh shit. Shit!
Heisenberg,Male,"Haha! My word, you truly are as strong as they say!"
Heisenberg,Male,"Oh, you didn't think I'd let you get away, did you? Gotta keep Donna and Moreau entertained! So, now it's time for the beautiful, blood-soaked grand finale! Hahaha! Nothing like fresh American ground beef!"
Ethan,Male,Too close… Wait. Do those freaks have Rose?
Duke,Male,"I've been waiting for you, Mister Winters."
Ethan,Male,How do you know my name?
Duke,Male,"Anyone who is anyone has heard of the likes of you. A hero searching for his daughter. Though I must say, that castle arouses suspicion."
Ethan,Male,"Yeah, and so do you."
Duke,Male,I am but a humble merchant.
Ethan,Male,Here?
Duke,Male,"Forgive my manners, call me the Duke, Now to business. Weapons, ammunition, healing salves—Anything you desire, I can provide. Seeking something in particular? I've prepared a special present for you!"
Duke,Male,"Hard times, Ethan? What're ya buyin’?—Haha, just something an old friend of mine used to say. Please come again."
Ethan,Male,Could Rose be here…?
Woman,Female,Looking for Rose?
Ethan,Male,What the—?
Woman,Female,"Mmmm, man-blood."
Woman,Female,Mother. I bring you fresh prey.
Lady Dimitrescu,Female,"You are so kind to me, daughters. Now, let's take a look at him. Well, well. Ethan Winters. You escaped my little brother's idiot games, did you? Let's see how special you are."
Daughters,Female,"Yes, Mother."
Lady Dimitrescu,Female,Hm. Starting to go a little stale.
Lady Dimitrescu,Female,"Now, now, daughters First, I must inform Mother Miranda. But later… Well, there will be enough for everyone. Put him up!"
Ethan,Male,"Hey, hey wait…"
Ethan,Male,Hey. Let me… down!
Lady Dimitrescu,Female,"Oh, careful what you wish for, Ethan Winters."
Ethan,Male,W-Wait! Wh-Wh-What are you doing?
Ethan,Male,Bunch of crazy witches…
Ethan,Male,Where have they taken Rose…?
Duke,Male,We meet again.
Ethan,Male,Duke? Why are you here?
Duke,Male,Where there's coin to be made… And have you found your daughter?
Ethan,Male,No.
Duke,Male,"If she is truly here, the Lady of the castle would have kept little Rose in her private chambers, would she not?"
Ethan,Male,Dimitrescu?
Duke,Male,"The very same. Why don't you take a look? Maybe you'll get lucky. And speaking of looking… care to make a purchase? Seeking something in particular? I am skilled at all sorts of weapons modifications, and will do them for a small fee."
Duke,Male,Thank you for your patronage!
Daughter,Female,"I haven't cut open a man in a while! Let me string you up, slice your jugular, and just watch…. Taken alive? Dead? Which would you prefer?"
Daughter,Female,"I can't believe Cassandra caused all this mess. A healthy man's blood… mmm, I can't wait."
Daughter,Female,"I need blood. Warm, wet, bright red blood. Where are you going, little one?"
Daughter,Female,Your bullets cannot harm—
Daughter,Female,You stupid manthing!
Daughter,Female,"I won't forgive you, you bastard! Not like this…"
Daughter,Female,Give up! I don't believe it!
Second Daughter,Female,Shall give you the tour?
Second Daughter,Female,"Ugh, so thirsty…"
Lady Dimitrescu,Female,What have you done to my daughter!?
Ethan,Male,What the hell!?
Lady Dimitrescu,Female,"Mother Miranda. I regret to inform you that Ethan Winters, has escaped that fool Heisenberg. Because he is in my castle, and has already proven too much for my daughters to handle! When I find him—No, Mother Miranda. Yes, of course I understand the importance of the ceremony. I won't let you down."
Lady Dimitrescu,Female,To hell with the ceremony! That man will pay for what he's done…
Ethan,Male,"Rose, where are you?"
Ethan,Male,"Oh, shit."
Lady Dimitrescu,Female,There you are. All this for a child that isn't even here!
Ethan,Male,What the hell do—
Lady Dimitrescu,Female,"You ungrateful, selfish wretch! You come into MY house— You lay your filthy man-hands on MY daughters— And now you even try to steal my property? How dare you!?"
Lady Dimitrescu,Female,"Rest while you can, because I will hunt you, and I will break you!"
Ethan,Male,"Go ahead, do your worst!"
Ethan,Male,"Aah, shit!"
Lady Dimitrescu,Female,Like I'd let you get away. You'll be sliced to ribbons——before you ever see that child!
Lady Dimitrescu,Female,You will learn what it means to insult house Dimitrescu.
Lady Dimitrescu,Female,"Time to die! Ah, such a nimble little mouse."
Lady Dimitrescu,Female,Running will get you nowhere!
Ethan,Male,"Good. Man, screw this castle!"
Duke,Male,It's a pleasure to see you safe. How were things?
Ethan,Male,No sign of Rose.
Duke,Male,"I'm… so sorry it turned out that way. Well, you'll find your way to her once you're out of this castle. Do you have need of anything for the road ahead? Thanks to your consistent patronage, I've expanded my services. If it's just looking, window shop away."
Duke,Male,"As always, a trustworthy, fair exchange. One moment, please. This is all an investment, Ethan. Please come again."
Second Daughter,Female,"Trying to work up my appetite, are you?"
Lady Dimitrescu,Female,You disgusting outsider!
Second Daughter,Female,Hmm. I guess I should hold back a little.
Second Daughter,Female,Play with me some more.
Second Daughter,Female,I was worried my sisters had gotten to you first.
Second Daughter,Female,You've ruined the hunt!
Second Daughter,Female,You bastard! My body! What? No! You're done! You will not get away! You're my prey… mine…
Ethan,Male,Crazy witch.
Lady Dimitrescu,Female,You disgusting outsider!
Third Daughter,Female,So you finally came to see me! Everyone falls for me in time.
Third Daughter,Female,"Ugh! Ow, so mean! You really want to kill me!? Why are you doing this!? Ugh, damn! A dream. This is a dream. I don't wanna… die…"
Ethan,Male,I'm sick of bugs.
Ethan,Male,"OK, I should be able to get out with these."
Lady Dimitrescu,Female,"Stupid manthing! You won't live long, even if you run!"
Lady Dimitrescu,Female,You've ruined everything!
Ethan,Male,Oh shit!
Lady Dimitrescu,Female,"Flesh, bones, I will devour all of you!"
Ethan,Male,"Looks like your outside matches your inside now, psycho witch."
Lady Dimitrescu,Female,You'll die a painful death!
Lady Dimitrescu,Female,"I will destroy you! You're a lucky man, Ethan! Besides Miranda, you're the only one to ever see me in this form. Too bad you'll pay for it… with your life! I will never forgive you! Too late for regrets! I'll crush you, you scum! I'll tear you limb from limb! Disgusting garbage! How dare you talk about saving your daughter when you've murdered mine!? You human pest! You would take everything from me!? I'll crush you! You can't escape! Like hell you'll kill me! Eat you… I'll eat you! Agh, just give up! Your daughter belongs to us, now! Rose is our only hope! We won't hand her over to the likes of you! Not enough blood! More! More blood! I need your flesh! You've got nowhere else to go, Ethan! Come now, don't be shy. Show me your terror! Now… time to die! I’ll eat you up, every last morsel! Die! Die! Damn you, Winters!"
Lady Dimitrescu,Female,It's too late… you'll never see your Rose again… Succumb to your despair!
Lady Dimitrescu,Female,Curse you!
Ethan,Male,You're the one who's cursed.
Ethan,Male,Looks like I'm getting outta this place.
Ethan,Male,Rose…
Old Woman,Female,"As the midnight moon rises on black wings, we await the light at the end… In life and in death, glory to Mother Miranda."
Ethan,Male,"Hey, remember me? I almost died up at that castle. Tell me what is going on around here?"
Old Woman,Female,How can a man be “almost” dead? That's a question for the wise.
Ethan,Male,You know what I mean. And I still haven't found Rose. Where did Mother Miranda take her?
Old Woman,Female,You're too late! Or maybe…”almost” too late? The child will be sacrificed. Life for life.
Ethan,Male,What kind of sick medieval shit is this? She's just a baby!
Old Woman,Female,The crests of the four bloodlines may open the path you seek..
Ethan,Male,Will you please stop talking in riddles? I just want to find my daughter.
Old Woman,Female,It's only a riddle if you don't know the answer.
Ethan,Male,"Wait a second, that looks familiar. Hey! Hey, wait!"
Ethan,Male,Is this…?
Duke,Male,There you are. I had a feeling you would pop up here.
Ethan,Male,It was all worthless.
Duke,Male,Is that so? I assume you've picked up something of value.
Ethan,Male,"Not sure if it's of value, but…"
Duke,Male,Why—you have your daughter right in your own hands.
Ethan,Male,What are you saying?
Duke,Male,Take a closer look.
Duke,Male,That flask seems to contain her head.
Ethan,Male,No… Wh-Wha-?
Duke,Male,Rose is—
Ethan,Male,Don’t say another word! This—this is impossible! This just can't be…!
Duke,Male,Your daughter's essence is still intact. Her powers are truly unique.
Ethan,Male,Who—who could even do this?
Duke,Male,She can be saved you know?
Ethan,Male,Saved? From this? Are you insane!?
Duke,Male,There's a house with a red chimney on the western side of the village. Go and seek out the man who lives there. Then we can continue our conversation.
Ethan,Male,Quit holding out and get to the damn point!
Duke,Male,"You don't have to trust my words, but do you have any better options? Your choice. The customer is always right, after all."
Ethan,Male,You'll pay if I find out this is a lie.
Ethan,Male,Fucking joker…!
Ethan,Male,What the hell?
Duke,Male,"Naturally. Oh, Lady Dimitrescu! Beautiful even in death. That waistline… yes! This simple modification can be done in just a moment. Please come again. Oh good. I was just thinking of ways to pass the time. I see, anything else? Thank you for your patronage!"
Ethan,Male,Damn it… Better see Duke again.
Duke,Male,How was it? Did you learn anything?
Ethan,Male,I found these feathers. Now tell me how to fix this like you said you would.
Duke,Male,Settle down. First you must use that key and collect all of your little Rose's flasks.
Ethan,Male,Where are the rest of them?
Duke,Male,"There are four in total. You have the one, and the other lords have the rest."
Ethan,Male,Lords?
Duke,Male,"Mother Miranda is the cold, calculating ruler of this village. Four lords serve under her. The first you've already met, the lady Dimitrescu. The second lives deep in a valley of mist, the doll maker Donna Beneviento. None of her playmates have ever come back from that dank, old estate. The third is Moreau, a being of twisted flesh that lives in the reservoir past the windmills. It's said that he is not the only monster that lives in those waters. The fourth and most dangerous is Heisenberg. He works in his factory on the village outskirts. And the project? Let's just say parts of the human imagination are better left alone."
Duke,Male,"If you truly wish to save your daughter, you must first gather the four flasks. I'll do you a personal favor. I've marked the Lords' locations on your map. Some treasures still lurk in this village. I'm sure each one will prove of great use to you."
Ethan,Male,Why are you doing all this?
Duke,Male,Why it's all part of our first class customer service. Please do come again soon…
Duke,Male,"Shall I choose something for you? Ah yes, I have you! Find some quality ingredients and bring them to me. You kill it, we cook it! Hand over ingredients. We've gathered all the ingredients! Now… Here it is. Please, join me!"
Ethan,Male,Not a bad dish.
Duke,Male,"I'm buying this because of our relationship, you know. I'm surprised you'd part with this so early. I hope this one makes itself useful. I am skilled at all sorts of weapons modifications, and will do them for a small fee. Have a wonderful adventure!"
Ethan,Male,What?
Mia,Female,Ethan! Come with me. There's something I have to tell you.
Ethan,Male,Mia? What's going on?
Mia,Female,"Rose feels different. Ethan, you have to fix her…"
Ethan,Male,What the hell is this?
Mia,Female,Everyone leaves me… even Rose… I don't want to be alone…
Ethan,Male,This can't be real…
Ethan,Male,Am I losing it?
Ethan,Male,What's going on?
Doll,Female,I've been waiting for so long… I'd make a much better daughter than Rose. Please won't you stay with me forever?
Ethan,Male,What?
Ethan,Male,"Wait, where's my gun?"
Mia,Female,"Whoa, that's a kick! Can you believe it? S-She's so energetic, it's crazy!"
Ethan,Male,Why is this here?
Mia,Female,"Oh god, no… I, I can't tell Ethan anything but this."
Mia,Female,"Please Ethan, listen to me. I didn't want to keep it from you."
Ethan,Male,Mia?
Mia,Female,I didn't want to lose you again—I didn't want to destroy this family.
Ethan,Male,"Mia, what are you talking about?"
Mia,Female,I love you both so much I had to. I had to do it.
Mia,Female,Rose…
Mia,Female,It'll be fine. It'll be fine. It'll be fine. It'll be fine. It'll be fine. It'll be fine.
Woman In Black,Female,Don't leave… I can't let you…
Doll,Female,"Ooh, you're still alive, huh?"
Doll,Female,"You better find me quick, before my friends murder you! Tick-tock! Your life's on the line!"
Ethan,Male,Wait!
Doll,Female,"Try and find me, haha!"
Doll,Female,Everything would be better if Rose wasn't born
Ethan,Male,Fucking monster!
Doll,Female,You do this to Rose too?
Doll,Female,You are never going to get out of here!
Doll,Female,Stupid idiot! What are you doing to my cute friends!?
Ethan,Male,It's… over?
Ethan,Male,Mia… I’ll make things right.
Ethan,Male,What?
Ethan,Male,"Good, I need to get out of this place,"
Ethan,Male,So that's who was behind all this.
Ethan,Male,That makes two…
Duke,Male,Does this look familiar to you…?
Duke,Male,Ooh! Where did you get your hands on such a thing? I saw you eyeing that one! Please come again.
Duke,Male,Now this is something to splurge on!
Duke,Male,"Securing goods is more important than anything. Anything, my friend. Please come again."
Moreau,Male,"Oh, Mother Miranda… If it's for you, I'd do anything!"
Ethan,Male,I'll just be taking this…
Moreau,Male,"Wait, wait,wait! Wh-What are you doing with Mother's special child!?"
Ethan,Male,She's not hers.
Moreau,Male,Oh? You have something to say?
Ethan,Male,"What do you mean, “Mother's special child?"
Moreau,Male,Mother wants her baby back.
Ethan,Male,Don’t screw with me!
Moreau,Male,"Wait, wait, wait! Please, please! If, if you take it, then the others will laugh at me… B-But if, if I do better than them…"
Ethan,Male,What do I care?
Moreau,Male,"Wait, just a little longer, ple—!"
Ethan,Male,What's so funny?
Moreau,Male,"You're stupid! You talk too much! It's all over, I plugged the way in."
Ethan,Male,Wh-What're you…?
Moreau,Male,This is MY territory! And I won't let you leave!
Ethan,Male,Shit! Damn freak!
