Character,Gender,Line
Piers,Male,What did you just say?
Jake,Male,What?
Chris,Male,Nothing.
Radio,,HQ to Alpha Team. Reinforcements are unable to land due to anti-aircraft artillery. Take ’em out!
Chris,Male,"Alpha Team, copy."
Radio,,What the!? We’re picking up a large bogey on radar. It’s heading right for you!
Chris,Male,"We’ll talk later. Right now, you need to find cover."
Radio,,"Alpha Team, come in. This is Echo. Those three anti-aircraft turrets are holding us at bay."
Chris,Male,"Roger that, Echo, We’ll take care of them for you."
Soldier,,Our first target’s over here!
Sherry,Female,Chris! We’ll give you a hand!
Chris,Male,Out of the question! You need to get to safety!
Sherry,Female,"Don’t worry about me. I can handle myself, and you need the help!"
Jake,Male,Christ... My chances of survival were higher when I was a soldier of fortune.
Soldier,,"I’m setting charges on the anti-aircraft guns now, but it’s gonna take a while. See if you can buy me some time! I need you to distract that giant B.O.W.! I can’t work with that B.O.W. around!"
Sherry,Female,Chris! We’ll take care of one of those big ones!
Jake,Male,"Thanks for volunteering me for the job, babe."
Sherry,Female,I’m setting the charges now! Just need a little more time! The charges are set! Everyone get back!
Radio,,Only two guns left!
Soldier,,"OK, head to the next target! I’m setting charges on the anti-aircraft guns now, but it’s gonna take a while. See if you can buy me some time! Just need a little more time! The charges are set! Everyone get back!"
Radio,,"Good job, Aloha! One gun left! There’s another giant B.O.W. closing in on your location!"
Piers,Male,It’s the one we lost at the Two of Hearts!
Chris,Male,Alpha! Prepare to engage!
Soldier,,"Only one to go! Everyone into that underground passage! I’m setting charges on the anti-aircraft guns now, but it’s gonna take a while. See if you can buy me some time! Just need a little more time! I need you to distract that giant B.O.W.! I can’t work with that B.O.W. around! I’m setting the charges now! The charges are set! Everyone get back!"
Radio,,"All anti-aircraft guns have been silenced, Nice work, Alpha. But you’re not out of the woods yet. Echo Team can’t land until you take care of that other B.O.W. We’ll try to hit it from the air. See if it has any weaknesses."
Chris,Male,Targeting those exposed organs! Fire at will!
Radio,,"Good work out there, Alpha! Echo Team will be landing shortly."
Chris,Male,I already gave the pilot the coordinates.
Sherry,Female,Thank you so much for your help.
Chris,Male,(to Jake) Hey... Hey! Have we met?
Jake,Male,"You jarheads all look the same to me pal, sorry."
Piers,Male,You’ve gotta be kidding me!
Chris,Male,My mistake. Have a safe flight.
Sherry,Female,"Yes… but there’s something I need to run by you. Mr. Muller is requesting compensation for his cooperation... 50 million dollars. Yes. Yes, I understand. I’ll let him know."
Jake,Male,"So, we got a deal?"
Sherry,Female,"Yes, we have a deal."
Jake,Male,"That was easy. By the way, that guy that you were all chummy with back there..."
Sherry,Female,You mean Chris?
Jake,Male,That’s the one.
Sherry,Female,What about him?
Jake,Male,Forget it.
Sherry,Female,What was that?
Jake,Male,My gut’s goin’ with something bad. And here it comes.
Sherry,Female,Oh my God.
Jake,Male,That thing doesn’t give up.
Sherry,Female,We have to shoot him off or he’ll bring us down!
Jake,Male,"I’m getting 50 million. I don’t mind working for it a little. This thing is after you two, ain’t he!"
Sherry,Female,I’m sorry. I didn’t mean to put you in danger!
Jake,Male,"Don’t sweat it, kid! This is why I get paid the big bucks!"
Pilot,,Jump to the next chopper! Move! Now! What are you waiting for?
Cherry,,Jake!
Jake,Male,This just gets better and better. He’s locked on to us! This is getting a little crazy. Even for me!
Sherry,Female,e can’t take any more hits! We ve gotta shoot the missiles down!
Jake,Male,"I should’ve read the line print before signing up for this. Get your own helicopter, asshole!"
Sherry,Female,"Look, parachutes!"
Jake,Male,What do I do?
Sherry,Female,Pull it out...
Jake,Male,No! You’ll bleed to death.
Sherry,Female,Please...
Jake,Male,Don’t say I didn’t warn you.
Jake,Male,What the hell! You wanna tell me what the hell just happened?
Sherry,Female,Long story.
Jake,Male,Yeah? Maybe it’s your blood they should be testing for vaccines.
Sherry,Female,They already did. More than I could stand.
Jake,Male,What are you doing?
Sherry,Female,The data’s gone!
Jake,Male,What data?
Sherry,Female,"Your data! Your blood analysis, your genome, everything that we need to make a vaccine."
Jake,Male,"No! You mean everything I need to get my 50 million. Well, come on super girl, let’s get lookin’."
Sherry,Female,I had all your intel saved on a handful of data chips. We’ve gotta find them!
Jake,Male,"In the middle of a snowstorm? You really want me to work for that money, don’t you? Hey, look. There’s a shack up there. Finally, a little luck..."
Sherry,Female,"OK, first we find the data, then we’ll take shelter there."
Sherry,Female,"So this data you need to find. It’s about me, isn’t it?"
Sherry,Female,There are three data chips. I lost them in the crash. The locator will pinpoint each one’s position.
Jake,Male,"OK... We find your gear, and then I brew us up a nice, hot pot ’a coffee. Jesus... What are these nasty-looking things?"
Sherry,Female,"They’re J’avo, and they’re encased in a… cocoon. When they hatch… well… it isn’t pretty."
Jake,Male,"I’m so glad I was immune to that shit, they gave us. I’d rather be in there, kicking my feet, up, then out here on this stupid scavenger hunt. I must’ve pissed somebody off upstairs."
Sherry,Female,I sure could use a break about now... But finding that data is priority one.
Jake,Male,"So this little thing is chock full ’a data on me, huh. Two left. We’d better hurry before I freeze my ass off. Found another one. Doesn’t look, broken... OK. One more to go. And I bet you’ll be a real pain in the ass to find... Gotcha. Is that it for the data chips?"
Sherry,Female,"Yeah, thanks for the help. Now let’s get out of this cold."
Sherry,Female,I’ll go get help. It can’t be that much further to the rendezvous.
Jake,Male,Wait!
Jake,Male,So... You always been like that? The whole healing thing.
Sherry,Female,"My dad was a scientist. He was working on B.O.W.s when I was exposed. Luckily, I was treated with the vaccine before it was too late, but the virus adjusted and adapted. It’s been a part of me ever since."
Jake,Male,What happened to your father?
Sherry,Female,His research killed him. By the time he died his body had mutated so much… he wasn’t even recognizable.
Jake,Male,Sorry. I didn’t mean to...
Sherry,Female,"That’s all right. Besides, I didn’t walk out of it empty handed."
Jake,Male,"Yeah, you got super powers."
Sherry,Female,"That’s not what I meant. The people who saved me, Leon and Claire, are the closest friends I’ve ever had."
Jake,Male,"Claire is that BSAA guy’s sister, right?"
Sherry,Female,They risked their lives for me back in Raccoon City. I guess I’m still just trying to live up to their example—never giving up no matter the odds.
Jake,Male,Speaking of odds... Looks like we got some party crashers. But this cabin’s invitation only.
Sherry,Female,We’re surrounded! It’s an avalanche! Let’s get out of here!
Jake,Male,I told them to keep the noise down!
Jake,Male,"Punch it, before, we get buried alive! The whole mountain’s coming down! God must really hate us today!"
Sherry,Female,"We’ll make it, just keep going! Anyway... I don’t hate you!"
Jake,Male,Oh great. That helps!
Sherry,Female,"Oh, no! Go right!"
Jake,Male,Keep your speed up! I don’t want to be buried out here! This is not a good idea!
Sherry,Female,Too late now!
Jake,Male,Jump!
Sherry,Female,Are you OK?
Jake,Male,Don’t worry about me. I’m built like a tank.
Sherry,Female,Fine. I won’t. Let’s go.
Jake,Male,"Wow, nice acoustics... Watch your step."
Sherry,Female,I wonder how deep this mine goes.
Jake,Male,Jesus Christ! What does it take to kill that thing!
Sherry,Female,I think he’s using those bugs to sniff us out. Be careful.
Jake,Male,Shit! He found us!
Sherry,Female,"Quick, hide! Watch out for those bugs. If they find us..."
Jake,Male,"Yeah, yeah, I know. Tall, dark, and ugly’ll come tear us apart."
Sherry,Female,He’s found us!
Jake,Male,Hide before he comes! When’s it our turn to chase him?
Sherry,Female,He’ll kill us if he finds us.
Jake,Male,Thanks for the news flash. Shit! He found us!
Sherry,Female,"Quick, hide!"
Jake,Male,I’m not really a fan of hide and seek.
Sherry,Female,"Oh, you’d rather that thing kill you?"
Jake,Male,Shit! He found us!
Sherry,Female,"Quick, hide! Keep your hands to yourself!"
Jake,Male,"Hey, you’re the one rubbing up on me. Besides, what makes you think you’re my type?"
Sherry,Female,I would shoot you if I didn’t need you alive.
Jake,Male,"Seriously!? Geez, this guy doesn’t miss a beat!"
Sherry,Female,He sure can move fast for something that size.
Jake,Male,Shit! He found us!
Sherry,Female,"Quick, hide!"
Jake,Male,"Get the hell outta here, for Chrissakes! Shit! He found us!"
Sherry,Female,"Quick, hide!"
Jake,Male,I hate this hiding bullshit.
Sherry,Female,That was close.
Jake,Male,Aw shit... Run!
Sherry,Female,We can’t go anywhere without that key.
Jake,Male,Then let’s go get it.
Jake,Male,"Ha-ha! Whadya think of that, sucker!"
Sherry,Female,Quiet! He ’ll hear you!
Jake,Male,"Christ, he’s like a sales rep that won’t take no for an answer!"
Sherry,Female,I think this will stop him!
Jake,Male,"Oh, this is gonna be fun! Not so tough now, are ya!?"
Sherry,Female,We got him now! We did it. We beat him.
Jake,Male,Just barely. Is that the exit?
Sherry,Female,"Yeah, once we get out there, I’ll radio for pickup. My team should be close by. That’s the rendezvous."
Jake,Male,About damn time.
Jake,Male,Come on super girl.
Jake,Male,"You know, those shots of yours pack one hell of a punch, lady."
Ada,Female,"So, you’re Wesker Junior."
Jake,Male,Wesker? You lost me.
Ada,Female,"Albert Wesker was a colossal imbecile, a fool who tried to destroy the world. He was also your father."
Jake,Male,What!?
Ada,Female,Which makes you heir to a very special blood type.
Mercenary,,(in Chinese) “Keep moving.”
Jake,Male,"(in Chinese) “Sorry guys, time to move on.”"
Jake,Male,"I don’t need a weapon to kill assholes like you! Goodbye, shitty prison cell. It’s been a real slice of heaven."
Loudspeaker,,Two test subjects have escaped from their quarters. They must not leave the facility. Permission to use firearms has been granted. Repeat Two test Subjects have escaped from their quarters. They must not leave the facility. Permission to use firearms has been granted.
Jake,Male,"I knew she was here! I’m coming for you, Sherry."
Sherry,Female,Jake! Where are we?
Jake,Male,China.
Sherry,Female,"Obviously, but where? Why?"
Jake,Male,"Don’t know, don’t care."
Jake,Male,I just know I am done being their guinea pig.
Sherry,Female,What did they do to you?
Jake,Male,Plenty. They said something about using my antibody to enhance the C-Virus.
Sherry,Female,What else did they say?
Jake,Male,You know anything about an Albert Wesker?
Sherry,Female,What?
Jake,Male,"I’ll take that as a yes. They talked about him. A lot. I guess he had an antibody that could fight off any virus. Apparently, he abused his gift, took it for granted, and then ended up turning himself into a some kind of monster. And here I thought dear old dad was just a deadbeat who skipped out on us no, no, no... he was actually... a freakin’ nut job who almost destroyed the world!"
Sherry,Female,Your father’s actions have nothing to do with you.
Jake,Male,"Yeah, but his blood does. It’s the whole reason why we’re even here. I mean, come on! You really think that crazy doesn’t run in the family? That nothing of who my father was didn’t somehow get passed on down to me? You of all people should know that’s true. I’m just sayin’... The man that I am, the things that I’ve done at least it all makes a little bit more sense now. What?"
Sherry,Female,You can blame your father all you want. But at some point you have to take responsibility for your own actions. I have to let my superiors know I’m OK. But first we need a way to contact them.
Jake,Male,Hm? What the hell’s this?
Jake,Male,"I’ll tell you this, it took a lot of money to build something this big."
Sherry,Female,No kidding. I never saw anything outside of the one crappy room they had me in.
Jake,Male,"Hey, look. We can get out here."
Sherry,Female,"Yeah. But until I talk to my superiors, I don’t even know where to go."
Jake,Male,Why does everything have to be a such pain in the ass? All right. Guess we better find a way for you to phone home.
Jake,Male,"Three medallions for the west. And it says it takes ten medallions to gain passage to the east. OK, we know what they look like. Now we find the rest. So, what’d they have you doing for the past six months?"
Sherry,Female,You name it. They were trying to research the virus I’m carrying. It was the same thing I went through after Raccoon City. And it was just as shitty the second time.
Jake,Male,Jeez. I’m sorry.
Jake,Male,What is this?
Sherry,Female,Data from your experiments. Here we go.
Jake,Male,Hello!
Sherry,Female,It’s all right here.
Jake,Male,Why don’t you call your boss?
Sherry,Female,"It’s me, Sherry Birkin... Yes, he’s OK. We were detained… at a facility in China. Really!? All right, I’ll send you our exact coordinates. (to Jake) They’re already here in China! It’s over, we’re saved."
Jake,Male,"Hallelujah. So, you ready?"
Sherry,Female,Done. Now let’s get the hell outta here.
Jake,Male,Let’s go! These guys aren’t much for conversation.
Sherry,Female,Good. I was sick of this place anyway.
Jake,Male,Are you kidding me!?
Sherry,Female,Oh crap! Run!
Jake,Male,"Jesus Christ! Oh, come on! Enough already! How the hell do I get over there? I could swing off that statue if I got it to the right angle. Haha! That works! Let’s try it again. I hope you break your stupid statue! Thanks for the opening! Sherry! I found a bike! Just hold on!"
Sherry,Female,OK!
Sherry,Female,Yes… we’re all right. Understood. I’ll make sure.. We’ll be there soon.
Jake,Male,What did he say?
Sherry,Female,He gave me the rendezvous coordinates. It’s close.
Jake,Male,Great. Hang on!
Sherry,Female,They’re trying to mow us down!
Jake,Male,"Yeah, thanks, I have ears! God only knows how we’re gonna get out of this! Hold on to me!"
Sherry,Female,Oh my God... Jake!
Jake,Male,This city is going to hell in a handbasket.
Jake,Male,"Hey! Shoot that thing, would ya!"
Sherry,Female,This is really starting to hurt.
Jake,Male,"Next time I’ll steal a limo! Hold on as tight as you can, OK?"
Sherry,Female,Jake!
Jake,Male,Son of a… Goddamn it!
Sherry,Female,I can’t hold on!
Jake,Male,Yes you can! I’m coming!
Jake,Male,You OK?
Sherry,Female,Yeah. Nice catch. The helicopter’s back!
Jake,Male,Bastard was waiting for us. Hang on!
Sherry,Female,They’re still on us!
Jake,Male,As if we didn’t have enough problems! Watch out! Here we go! Hold on!
Jake,Male,You all right?
Sherry,Female,I’m fine.
Jake,Male,"Come on. Shit. Looks like Redfield and his boyscouts are here, too."
Sherry,Female,Jake! Chris’ team will protect us.
Jake,Male,We don’t need their help. I didn’t ask for it either.
Sherry,Female,"I know you don’t like him, but if Chris is here..."
Jake,Male,"All right, all right! Enough about Redfield! Geez, it’s getting old! These guys don’t know who they’re dealing with. Time to clue ’em in. Droppin’ like flies. We’ll have this mess mopped up in no time."
Sherry,Female,Jake! He’s the last one!
Jake,Male,"Hmph, and I thought we’d be here all night. This way!"
Sherry,Female,OK.
Jake,Male,"Screw all this running. I’m taking that, chopper out."
Sherry,Female,How? With what?
Jake,Male,Not sure. Kinda making this up as I go!
Sherry,Female,Chris is on the roof trying to take that chopper down.
Jake,Male,"Not goin’ too well for him, is it? Wanna show him how it’s done?"
Sherry,Female,"Well, I have some explosive rounds that could even the odds."
Sherry,Female,Jake! No! You’ll be killed!
Jake,Male,You know what they say about desperate times! Watch and learn!
Jake,Male,You’re going down!
Sherry,Female,"Come on, let’s go. Our orders are to avoid contact with anyone."
Jake,Male,Does he know that Wesker was my father?
Sherry,Female,I don’t think so. Why?
Jake,Male,No reason. Maybe I just rubbed him the wrong way.
Jake,Male,"Did you even see the kind of helicopter they sent after us? A bird like that costs around fifteen million dollars. Man, terrorism is lucrative."
Sherry,Female,Maybe they have an oil baron or two in their pocket.
Jake,Male,"Oil Barons? In the country I was born in, people think Uncle Sam causes most of the problems in this world."
Sherry,Female,"Yeah, sure, everyone loves to blame America for everything. We’re not the bad guy, Jake. Look, these terrorists have unleashed bioweapons on our country, too!"
Jake,Male,So the whole world’s going to hell.
Sherry,Female,And you’re the only one who can save it.
Jake,Male,"Well, shit. As long as there’s no pressure, right? Man, everywhere you look, there’s more of these assholes. Sucks being so popular."
Sherry,Female,"There’s no sneaking around them, is there?"
Jake,Male,"It’s bolted shut? Ah, fuck me… Come on, we gotta figure out a way to get this thing open. Sherry, it’s open! Smells like death. Just like Edonia."
Sherry,Female,Jake! Are you OK?
Jake,Male,"I’ve taken bigger spills. Course, I don’t have that healing factor of yours."
Sherry,Female,Too bad the fall didn’t knock the wise ass out of you. This one’s bolted shut too.
Jake,Male,"Another one? All right, here we go again,"
Sherry,Female,It’s open — c’mon!
Sherry,Female,Don’t get too close! You’ll be ripped to shreds!
Jake,Male,"Yeah, thanks. I know what a chainsaw can do!"
Jake,Male,"Now’s our chance! He’s all yours! Take that, you piece of shit! Did that do it?"
Sherry,Female,I think he’s down.
Sherry,Female,It’s American...!
Sherry,Female,Is that… Leon?
Leon,Male,Sherry? What are you doing here?
Sherry,Female,I’m on protective detail.
Leon,Male,"Yeah, I heard you became an agent."
Sherry,Female,Why are you here?
Leon,Male,I’m tracking the man behind all this. Chief Security Advisor Simmons.
Sherry,Female,What!? There must be some sort of mistake. I report to Simmons!
Leon,Male,He’s your supervisor?
Sherry,Female,We’re on our way to meet with him right now.
Leon,Male,Where is he! I need to know—
Jake,Male,Hey!
Sherry,Female,Jake! Let me handle this.
Jake,Male,I thought your orders were to avoid contact… with anyone.
Sherry,Female,Leon’s not just anyone. He saved my life back in Raccoon City.
Jake,Male,Fair enough.
Helena,Female,Look out!
Helena,Female,"Leon, the plane!"
Jake,Male,Him again!?
Leon,Male,Friend of yours?
Jake,Male,More like an ex-girlfriend. Guy doesn’t know when to quit.
Leon,Male,Welcome to the club. You get used to it.
Sherry,Female,Watch out for his arm!
Leon,Male,Got it!
Helena,Female,Now’s our chance. Let’s go! You’ve fought this thing before and you’re still breathing? I’m impressed.
Jake,Male,Are you kidding? I get a kick outta this.
Helena,Female,"You’re not entirely sane, are you? How is he still standing!?"
Sherry,Female,Don’t get me started! But maybe the four of us can stop him once and for all!
Leon,Male,He carries around a spare?
Helena,Female,Give him credit — at least he came prepared.
Jake,Male,Like I said... Indestructible.
Leon,Male,I was hoping you were exaggerating.
Jake,Male,"‘Fraid not. That doesn’t mean we gotta, make things easy for him."
Leon,Male,"Hey, shit for brains! Over here!"
Leon,Male,Sherry!
Sherry,Female,Leon! We’re gonna head to the Kwun Lung Building over in Koocheng! That is where I’m meeting with Simmons!
Leon,Male,"Sherry, listen! Until we get there, I need you to—"
Jake,Male,"Hey! If he is half the man you say he is, he’ll be fine. OK?"
Sherry,Female,You’re right. We should hurry.
Sherry,Female,"Koocheng is up ahead, at the mouth of the river."
Jake,Male,"All right. Come on. You’re worried about Simmons, right?"
Jake,Male,"You’re gonna be fine, OK?"
Jake,Male,Let’s go!
Jake,Male,Was that you?
Jake,Male,Jesus Christ!
Sherry,Female,"Watch out! This day is never gonna end, is it?"
Sherry,Female,Come on!
Jake,Male,(encounters the zombie) He’s back! This prick won’t give up!
Sherry,Female,Watch out! Someone’s shooting at us!
Jake,Male,They’re not shooting at us they’re helping us! Maybe it’s your buddies in the BSAA!
Sherry,Female,I think he’s dead.
Jake,Male,Let’s hope it sticks. Found us another boat!
Sherry,Female,I just saw some sort of light or something in the water.
Jake,Male,(stirring away from the falling poles) Jesus Christ!
Jake,Male,"Oh, come on! Really!?"
Jake,Male,What the hell was that?
Sherry,Female,"I don’t know, but whoever they are, they just saved my life."
Jake,Male,Worst boat ride since the Titanic.
Jake,Male,Shit! Sherry!
Sherry,Female,Jake!
Sherry,Female,"Yes? Almost. All right, we’ll be there as soon as we can."
Jake,Male,"Boss still keeping tabs on you, huh?"
Sherry,Female,...For now.
Jake,Male,Let’s go then.
Sherry,Female,"If Leon was right about Simmons, I want you to run. (Jake scoffs) No matter what happens. Promise me."
Jake,Male,Fine.
Sherry,Female,No! Wait!
Simmons,Male,"Ah, Agent Birkin. Impeccable timing. Kindly take these two into custody, won’t you?"
Sherry,Female,They said you were involved in the terrorist attack. Is it true?
Simmons,Male,"What, are they running down the streets, screaming it to anyone who’ll listen?"
Sherry,Female,Answer me!
Simmons,Male,It’s for the benefit of the United States—and global security.
Leon,Male,I can’t see how killing the president is good for the country.
Sherry,Female,The president’s dead?
Simmons,Male,"Well, we have Leon to thank for that."
Helena,Female,"God damn you, Simmons!"
Simmons,Male,(to his men) Dispose of them.
Sherry,Female,No!
Simmons,Male,Hold your fire! Those two are still of use to us.
Leon,Male,(to Sherry) You need to be more careful.
Jake,Male,"All right, all right, so what’s the plan, hero?"
Leon,Male,You think you can make it to that door?
Jake,Male,Why don’t we just waste them?
Leon,Male,Because I need you to take care of Sherry.
Simmons,Male,Can we wrap this up? I do have better things to do.
Sherry,Female,What are you two gonna do?
Helena,Female,Finish Simmons.
Sherry,Female,(hands Leon a flash drive) There’s information on here that could stop the C-Virus. Simmons wants it.
Leon,Male,"Thanks. I’ll put a call in to FOS, get you some protection. Now move!"
Sherry,Female,Go! Run!
Jake,Male,Not a chance.
Sherry,Female,You promised!
Jake,Male,I lied.
Sherry,Female,Jake!
Jake,Male,Sherry!
Sherry,Female,Jake!
Jake,Male,Sherry!
Sherry,Female,I’m sorry. I trusted Simmons. I should’ve been able to see through his lies. This is all my fault.
Jake,Male,"You were just following orders, right? I thought you were doing the right thing. Find the vaccine, save the world and all that."
Jake,Male,What the hell just happened?
Sherry,Female,"Ugh, of course. They took our weapons."
Jake,Male,(looking at a nearby room) Hey! There’s our gear.
Sherry,Female,How do we get in there?
Jake,Male,Good luck.
Sherry,Female,Thanks.
Jake,Male,Sherry!
Sherry,Female,I’m all right!
Jake,Male,"You sure, ’cause you don’t look all right. Hey, break down the door! Save me from climbin’ through those air ducts."
Jake,Male,"Not bad, for a girl."
Sherry,Female,...My pleasure.
Computer,,"Electricity temporarily rerouted to incubation chamber. To activate elevator, please attach reserve battery."
Sherry,Female,Reserve battery?
Jake,Male,Where the hell is it?
Sherry,Female,Won’t know ’till we find it.
Computer,,Reserve battery 1 activated. 25% Charged.
Jake,Male,We gotta get more? Dammit!
Jake,Male,"Huh, it’s hardly practical, but we got no choice. Really, there’s no other way up? ...Oh well."
Computer,,Reserve battery 2 activated. 50% Charged.
Jake,Male,"All right, half way there."
Computer,,Reserve battery 3 activated. 75% Charged.
Jake,Male,One more left.
Computer,,Unexpected power surge detected. Please use elevator for evacuation.
Jake,Male,"What the hell! First there’s no power, now there’s too much?"
Sherry,Female,At least the elevator works!
Sherry,Female,We have to find a way to stop this.
Jake,Male,That crane might do the trick!
Jake,Male,"I’m fresh out of patience, pal!"
Jake,Male,Sherry! You all right?
Sherry,Female,"Yeah, I’m fine! Hurry!"
Jake,Male,Jump!
Sherry,Female,Chris!
Chris,Male,Glad to see you’re OK.
Sherry,Female,"Wait, was that you who just freed us?"
Jake,Male,Looks like you guys saved the day again.
Chris,Male,(to Jake) I can see your father in you.
Sherry,Female,How did you know where—
Jake,Male,"Wait, hold on a second. So you knew him?"
Chris,Male,Yeah. I did. And I’m the one that killed him.
Jake,Male,(swiftly pulls out a pistol) It was you?
Chris,Male,That’s right.
Piers,Male,(aiming at Jake) Chris!
Jake,Male,You better put a leash on that puppy.
Chris,Male,"(waves Piers) This is between me and him. (to Jake) Go ahead, shoot. You have every right to. Just promise me you’ll survive. The world depends on it."
Jake,Male,(angerly) Who the hell are you to tell me what to do!?
Sherry,Female,Stop it!
Piers,Male,Put your gun down! Now!
Jake,Male,"Tell me, were you just... ...following orders, or was it personal?"
Chris,Male,Both.
Sherry,Female,"Jake, please, stop!"
Piers,Male,...before I put a bullet in your head! Just put your gun down.
Sherry,Female,Don’t do this!
Jake,Male,There are more important things at stake than you and me.
Piers,Male,We gotta go!
Sherry,Female,Jake!
Jake,Male,I know!
Sherry,Female,"Guys! I think this is some sort of lift! There’s one over there, too! Let’s get outta here."
